subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
4,1,1,SNR09,a,b,1.03460517473923,b,HIT,No,17.0881161977101,18.1236981256659,18,18,19,19,13
4,1,2,SNR09,a,b,1.09635188660741,b,HIT,No,30.595297158492,31.6918283731129,31,31,32,32,13.5
4,1,3,SNR11,a,b,0,None,None,No,45.0987179330009,0,46,46,0,0,14.5
4,1,4,SNR07,a,b,1.01123380239005,b,HIT,No,59.1020427712992,60.1134624590062,60,60,61,61,14
4,1,5,SNR11,a,b,1.0892087016,b,HIT,No,72.6102563649328,73.6996988486799,73,73,74,74,13.5
4,1,6,SNR11,a,b,1.11258378025195,b,HIT,No,87.6132211217038,88.7269669702889,88,88,89,89,15
4,1,7,SNR07,a,b,1.05674662491219,b,HIT,No,101.115994718804,102.172961441056,102,102,103,103,13.5
4,1,8,SNR07,a,b,1.10190791891455,b,HIT,No,114.618724410477,115.720798827896,115,115,116,116,13.5
4,1,9,SNR11,a,b,1.18104574175777,b,HIT,No,129.12145524255,130.302703975636,130,130,131,131,14.5
4,1,10,SNR11,a,b,1.45969866621544,b,HIT,No,144.124123495134,145.583961575338,145,145,146,146,15
4,1,11,SNR07,a,b,1.03525463294864,b,HIT,No,157.12687414167,158.162324353343,158,158,159,159,13
4,1,12,SNR09,a,b,1.15322709170141,b,HIT,No,170.62975807254,171.783230920597,171,171,172,172,13.5
4,1,13,SNR11,a,b,1.57520785941415,b,HIT,No,183.632697740496,185.208104599835,184,184,186,186,13
4,1,14,SNR09,a,b,0,None,None,No,198.135606475081,0,199,199,0,0,14.5
4,1,15,SNR07,a,b,0.956523362961889,b,HIT,No,212.138512501215,213.095173567564,213,213,214,214,14
4,1,16,SNR11,a,b,0,None,None,No,226.141303061776,0,227,227,0,0,14
4,1,17,SNR07,a,b,0.939358906629423,b,HIT,No,239.144042589405,240.083605627764,240,240,241,241,13
4,1,18,catch,catch,None,0,None,None,No,252.147336921984,0,253,253,0,0,13
4,1,19,catch,catch,None,0,None,None,No,267.149981226153,0,268,268,0,0,15
4,1,20,SNR07,a,b,1.01847477675983,b,HIT,No,281.65259003535,282.671215345004,282,282,283,283,14.5
4,1,21,catch,catch,None,0,None,None,No,295.655431913943,0,296,296,0,0,14
4,1,22,SNR09,a,b,1.1056344633671,b,HIT,No,309.658146922957,310.76393591062,310,310,311,311,14
4,1,23,SNR11,a,b,0,None,None,No,322.660853664065,0,323,323,0,0,13
4,1,24,SNR07,a,b,0.983886422931391,b,HIT,No,337.163579079235,338.14766279149,338,338,339,339,14.5
4,1,25,SNR11,a,b,0,None,None,No,350.66632901302,0,351,351,0,0,13.5
4,1,26,SNR09,a,b,0,None,None,No,363.669156351505,0,364,364,0,0,13
4,1,27,SNR09,a,b,0,None,None,No,377.671986540991,0,378,378,0,0,14
4,1,28,SNR07,a,b,1.08716367800844,b,HIT,No,392.674706681807,393.762135502984,393,393,394,394,15
4,1,29,SNR07,a,b,1.06241413138923,b,HIT,No,407.677473579054,408.740039953939,408,408,409,409,15
4,1,30,SNR09,a,b,1.43035301959571,b,HIT,No,422.680270696919,424.110860349664,423,423,425,425,15
4,1,31,SNR11,a,b,1.13854728343722,b,HIT,No,436.683000531142,437.821749380406,437,437,438,438,14
4,1,31,SNR11,a,b,13.2503621485048,b,FA,No,0,449.935725589936,0,0,450,450,14
4,1,32,SNR09,a,b,0,None,None,No,451.185759303033,0,452,452,0,0,14.5
4,1,33,SNR09,a,b,1.05282108053507,b,HIT,No,466.188564973903,467.241604441177,467,467,468,468,15
4,2,1,SNR11,a,b,1.13262432719785,b,HIT,No,17.5085103829209,18.6412196699737,18,501,19,502,13.5
4,2,2,SNR09,a,b,0.974746396263072,b,HIT,No,32.5110144178012,33.4862084213461,33,516,34,517,15
4,2,3,catch,catch,None,0,None,None,No,45.514107184553,0,46,529,0,0,13
4,2,4,SNR09,a,b,1.06077794145676,b,HIT,No,58.5166998855893,59.5776987796857,59,542,60,543,13
4,2,5,catch,catch,None,0,None,None,No,72.5200481021024,0,73,556,0,0,14
4,2,6,SNR09,a,b,1.04891748887167,b,HIT,No,86.0223202079863,87.0714344159823,87,570,88,571,13.5
4,2,7,SNR07,a,b,1.02902006221484,b,HIT,No,100.025070569422,101.054295333566,101,584,102,585,14
4,2,8,SNR09,a,b,0.888302596207723,b,HIT,No,113.027889925101,113.916387244732,114,597,114,597,13
4,2,9,SNR07,a,b,1.05636801187393,b,HIT,No,127.530645845991,128.587170092763,128,611,129,612,14.5
4,2,10,SNR11,a,b,1.2023632524124,b,HIT,No,142.033527781159,143.23608005499,143,626,144,627,14.5
4,2,11,SNR09,a,b,1.22224613895924,b,HIT,No,156.036351413341,157.258811092336,157,640,158,641,14
4,2,12,SNR11,a,b,0,None,None,No,169.039158509713,0,170,653,0,0,13
4,2,13,SNR11,a,b,0,None,None,No,183.041954487177,0,184,667,0,0,14
4,2,14,SNR11,a,b,0,None,None,No,197.044878189523,0,198,681,0,0,14
4,2,15,SNR11,a,b,0,None,None,No,210.54764693992,0,211,694,0,0,13.5
4,2,16,SNR11,a,b,1.44961410265205,b,HIT,No,225.550415547767,227.000865849246,226,709,228,711,15
4,2,17,SNR07,a,b,0.989650863468341,b,HIT,No,238.553163628402,239.543021189501,239,722,240,723,13
4,2,18,SNR09,a,b,0,None,None,No,253.555881773517,0,254,737,0,0,15
4,2,19,SNR07,a,b,1.00797767323456,b,HIT,No,267.058613175791,268.066741381921,268,751,269,752,13.5
4,2,20,SNR09,a,b,0,None,None,No,280.561334314458,0,281,764,0,0,13.5
4,2,21,SNR07,a,b,1.0661862918696,b,HIT,No,295.564149963835,296.630505320112,296,779,297,780,15
4,2,22,SNR09,a,b,0,None,None,No,310.066932113941,0,311,794,0,0,14.5
4,2,23,SNR07,a,b,0.972337299741412,b,HIT,No,324.569695447435,325.542173871766,325,808,326,809,14.5
4,2,24,SNR07,a,b,1.05581520262422,b,HIT,No,339.572482871894,340.628431786503,340,823,341,824,15
4,2,25,catch,catch,None,0,None,None,No,354.575152264879,0,355,838,0,0,15
4,2,26,SNR11,a,b,0,None,None,No,369.078147955019,0,370,853,0,0,14.5
4,2,27,SNR09,a,b,0,None,None,No,383.581069519113,0,384,867,0,0,14.5
4,2,28,SNR11,a,b,0,None,None,No,398.58394846073,0,399,882,0,0,15
4,2,29,SNR09,a,b,0.99532378684853,b,HIT,No,412.586844793458,413.58244341688,413,896,414,897,14
4,2,30,SNR07,a,b,0.969531058672146,b,HIT,No,425.58962052881,426.559322362488,426,909,427,910,13
4,2,31,SNR11,a,b,0,None,None,No,438.592326129517,0,439,922,0,0,13
4,2,32,SNR07,a,b,1.16252164266734,b,HIT,No,452.095206068985,453.258049874855,453,936,454,937,13.5
4,2,33,SNR07,a,b,0.931552578604169,b,HIT,No,466.09811380572,467.029860252445,467,950,468,951,14
4,3,1,SNR09,a,b,1.43772057844581,b,HIT,No,17.5075935007423,18.9453785118284,18,988,19,989,13.5
4,3,2,SNR11,a,b,1.17183529534486,b,HIT,No,31.5101100800305,32.6821780171225,32,1002,33,1003,14
4,3,3,SNR07,a,b,1.0137845936988,b,HIT,No,44.5128832494806,45.5270304906089,45,1015,46,1016,13
4,3,4,SNR09,a,b,1.38992011207847,b,HIT,No,57.5156940521545,58.9057934922463,58,1028,59,1029,13
4,3,5,SNR07,a,b,0.976993555879744,b,HIT,No,71.518485182916,72.4956640539136,72,1042,73,1043,14
4,3,6,SNR11,a,b,0,None,None,No,85.0212582098161,0,86,1056,0,0,13.5
4,3,7,SNR11,a,b,0,None,None,No,99.0239789208331,0,100,1070,0,0,14
4,3,8,SNR07,a,b,0.957183654980327,b,HIT,No,113.526815525073,114.484232677099,114,1084,115,1085,14.5
4,3,9,SNR07,a,b,0.947149839246777,b,HIT,No,128.529696177291,129.477521989064,129,1099,130,1100,15
