subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
5,1,1,SNR09,a,b,0,None,None,No,19.0905817440661,0,20,20,0,0,14
5,1,2,SNR07,a,b,1.00794346121438,b,HIT,No,33.0967969279885,34.1059754431811,34,34,35,35,14
5,1,3,catch,catch,None,0,None,None,No,46.101437218517,0,47,47,0,0,13
5,1,4,SNR07,a,b,0.999263871335643,b,HIT,No,60.1054086640234,61.1053633330948,61,61,62,62,14
5,1,5,SNR07,a,b,0.896509775086088,b,HIT,No,73.6127869141298,74.5095983252075,74,74,75,75,13.5
5,1,6,SNR11,a,b,0,None,None,No,86.6172401789403,0,87,87,0,0,13
5,1,7,SNR11,a,b,1.80395599307667,b,HIT,No,101.620106005949,103.424388438732,102,102,104,104,15
5,1,8,SNR09,a,b,1.14088795591488,b,HIT,No,116.623026001992,117.765068613635,117,117,118,118,15
5,1,9,SNR07,a,b,1.10002882362824,b,HIT,No,130.125808722298,131.226134335213,131,131,132,132,13.5
5,1,10,SNR07,a,b,0,None,None,No,143.128572198342,0,144,144,0,0,13
5,1,11,SNR11,a,b,0,None,None,No,156.631550212271,0,157,157,0,0,13.5
5,1,12,SNR09,a,b,0,None,None,No,171.634446830099,0,172,172,0,0,15
5,1,13,SNR07,a,b,0.996079302325597,b,HIT,No,186.137227839804,187.133441424315,187,187,188,188,14.5
5,1,14,SNR11,a,b,0,None,None,No,200.140196017778,0,201,201,0,0,14
5,1,15,SNR09,a,b,1.14289106977776,b,HIT,No,213.143045594076,214.286169590702,214,214,215,215,13
5,1,16,SNR11,a,b,1.00373595275778,b,HIT,No,227.646052118024,228.650026699632,228,228,229,229,14.5
5,1,17,SNR09,a,b,1.03685290455905,b,HIT,No,242.148886441462,243.185919529334,243,243,244,244,14.5
5,1,18,catch,catch,None,0,None,None,No,256.152723034584,0,257,257,0,0,14
5,1,19,catch,catch,None,0,None,None,No,271.154952517991,0,272,272,0,0,15
5,1,20,SNR11,a,b,1.19051648463574,b,HIT,No,286.15774022755,287.348469967119,287,287,288,288,15
5,1,21,SNR07,a,b,0,None,None,No,299.16044924946,0,300,300,0,0,13
