subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
6,1,1,catch,catch,None,0,None,None,No,19.08081457474,0,20,20,0,0,14
6,1,2,SNR11,a,b,0,None,None,No,32.0884005008627,0,33,33,0,0,13
6,1,3,SNR07,a,b,0.947114907623472,b,HIT,No,46.0921777834544,47.0403951706434,47,47,48,48,14
6,1,4,SNR07,a,b,0.893694398479056,b,HIT,No,59.5975313808963,60.4914398890621,60,60,61,61,13.5
6,1,5,SNR09,a,b,1.40805856398765,b,HIT,No,73.6048721214934,75.0131656074272,74,74,76,76,14
6,1,6,SNR09,a,b,0,None,None,No,86.6094434060489,0,87,87,0,0,13
6,1,7,SNR11,a,b,0,None,None,No,101.61234771413,0,102,102,0,0,15
6,1,8,catch,catch,None,0,None,None,No,116.616240176899,0,117,117,0,0,15
6,1,9,SNR07,a,b,1.07454181667708,b,HIT,No,131.118664092409,132.193975677596,132,132,133,133,14.5
6,1,10,SNR11,a,b,0,None,None,No,145.621543311738,0,146,146,0,0,14.5
6,1,11,SNR09,a,b,2.16233648121124,b,HIT,No,160.124520605278,162.287764558033,161,161,163,163,14.5
6,1,12,SNR09,a,b,1.24020284255494,b,HIT,No,173.627434036541,174.867924829539,174,174,175,175,13.5
6,1,13,SNR07,a,b,0,None,None,No,188.130424729754,0,189,189,0,0,14.5
6,1,14,SNR07,a,b,1.17000252027901,b,HIT,No,202.13332647194,203.30353027243,203,203,204,204,14
6,1,15,SNR11,a,b,0,None,None,No,217.136292646601,0,218,218,0,0,15
6,1,16,SNR11,a,b,0,None,None,No,230.139255114969,0,231,231,0,0,13
6,1,17,SNR11,a,b,0,None,None,No,244.14210240316,0,245,245,0,0,14
6,1,18,catch,catch,None,0,None,None,No,257.144739858157,0,258,258,0,0,13
6,1,19,SNR11,a,b,0,None,None,No,271.647572036078,0,272,272,0,0,14.5
6,1,20,SNR11,a,b,0,None,None,No,285.650441847125,0,286,286,0,0,14
6,1,21,SNR09,a,b,0,None,None,No,300.653253497885,0,301,301,0,0,15
6,1,22,SNR09,a,b,0,None,None,No,314.656177477828,0,315,315,0,0,14
6,1,23,SNR07,a,b,0,None,None,No,327.659067816036,0,328,328,0,0,13
6,1,24,SNR11,a,b,0,None,None,No,341.162157438758,0,342,342,0,0,13.5
6,1,25,SNR07,a,b,1.06043566616972,b,HIT,No,354.165105367054,355.225707816401,355,355,356,356,13
6,1,26,SNR07,a,b,0.986328341052285,b,HIT,No,367.668013381428,368.654577784823,368,368,369,369,13.5
6,1,27,SNR09,a,b,1.50524839574609,b,HIT,No,382.17107192831,383.676463443979,383,383,384,384,14.5
6,1,27,SNR09,a,b,9.04694846656457,b,FA,No,0,391.220597978987,0,0,392,392,14.5
6,1,28,SNR11,a,b,0,None,None,No,395.674008452628,0,396,396,0,0,13.5
6,1,29,SNR09,a,b,1.27390644404477,b,HIT,No,409.176882825267,410.451054696899,410,410,411,411,13.5
6,1,30,SNR07,a,b,1.17187647895298,b,HIT,No,424.179747219425,425.351835812368,425,425,426,426,15
6,1,31,SNR09,a,b,0.937866281516108,b,HIT,No,439.182673765263,440.120724506122,440,440,441,441,15
6,1,32,SNR07,a,b,0,None,None,No,454.185621693559,0,455,455,0,0,15
6,1,33,SNR09,a,b,1.5676398441301,b,HIT,No,467.188585872524,468.756390504136,468,468,469,469,13
6,2,1,SNR07,a,b,1.13937200574401,b,HIT,No,19.5085324562914,20.6479634776203,20,511,21,512,14.5
6,2,2,SNR07,a,b,1.11043840312414,b,HIT,No,32.5111385503491,33.6217163671032,33,524,34,525,13
6,2,3,SNR07,a,b,1.27432896142818,b,HIT,No,45.5140688024797,46.7885571344997,46,537,47,538,13
6,2,4,SNR11,a,b,0,None,None,No,58.517008462892,0,59,550,0,0,13
6,2,5,SNR11,a,b,0,None,None,No,71.5199107752766,0,72,563,0,0,13
6,2,6,SNR09,a,b,1.75899232170013,b,HIT,No,84.5227959816943,86.2819570822694,85,576,87,578,13
6,2,7,SNR11,a,b,0,None,None,No,99.0256432698854,0,100,591,0,0,14.5
6,2,8,SNR11,a,b,0,None,None,No,114.028539024983,0,115,606,0,0,15
6,2,9,SNR09,a,b,0,None,None,No,128.531531143694,0,129,620,0,0,14.5
6,2,10,SNR07,a,b,1.21273664679757,b,HIT,No,142.534401810039,143.747284427754,143,634,144,635,14
6,2,11,SNR11,a,b,0,None,None,No,156.537297280037,0,157,648,0,0,14
6,2,12,SNR07,a,b,0,None,None,No,171.540227817267,0,172,663,0,0,15
6,2,13,SNR07,a,b,0,None,None,No,186.043063416381,0,187,678,0,0,14.5
6,2,14,SNR09,a,b,0,None,None,No,199.545976847644,0,200,691,0,0,13.5
6,2,15,SNR09,a,b,1.19132909941618,b,HIT,No,213.04885264578,214.240405833363,214,705,215,706,13.5
6,2,16,SNR11,a,b,0,None,None,No,226.551740988292,0,227,718,0,0,13.5
6,2,17,SNR11,a,b,0,None,None,No,241.554679793406,0,242,733,0,0,15
6,2,18,SNR11,a,b,0,None,None,No,255.557500282248,0,256,747,0,0,14
6,2,19,SNR09,a,b,0,None,None,No,269.560394611848,0,270,761,0,0,14
6,2,20,SNR09,a,b,0,None,None,No,284.563296924233,0,285,776,0,0,15
6,2,21,SNR09,a,b,0,None,None,No,299.566196955822,0,300,791,0,0,15
6,2,22,SNR07,a,b,0,None,None,No,313.068970688356,0,314,805,0,0,13.5
6,2,23,catch,catch,None,0,None,None,No,326.072026669343,0,327,818,0,0,13
6,2,24,SNR09,a,b,0,None,None,No,340.07477759392,0,341,832,0,0,14
6,2,25,SNR11,a,b,0,None,None,No,354.577627162907,0,355,846,0,0,14.5
6,2,26,SNR09,a,b,1.1500062151681,b,HIT,No,369.080500395148,370.230655717327,370,861,371,862,14.5
6,2,27,SNR07,a,b,0,None,None,No,384.083368495599,0,385,876,0,0,15
6,2,28,SNR09,a,b,0,None,None,No,397.086223481475,0,398,889,0,0,13
6,2,29,SNR07,a,b,0,None,None,No,410.589149457114,0,411,902,0,0,13.5
6,2,30,catch,catch,None,0,None,None,No,424.591905228382,0,425,916,0,0,14
