subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
7,1,1,catch,catch,None,0,None,None,No,19.0654692242844,0,20,20,0,0,14
7,1,2,SNR11,a,b,0,None,None,No,32.0729849323766,0,33,33,0,0,13
7,1,3,SNR07,a,b,0.905597779898017,b,HIT,No,46.0768003758709,46.9829623613042,47,47,48,48,14
7,1,4,SNR07,a,b,0.892233891847354,b,HIT,No,59.5819556293258,60.4751887836282,60,60,61,61,13.5
7,1,5,SNR09,a,b,1.10033678423315,b,HIT,No,73.5893860936308,74.6900484578144,74,74,75,75,14
7,1,6,SNR09,a,b,1.00418293259645,b,HIT,No,86.5938278936488,87.5980932190705,87,87,88,88,13
7,1,7,SNR11,a,b,1.07516477852187,b,HIT,No,101.596780065612,102.67283377433,102,102,103,103,15
7,1,8,catch,catch,None,0,None,None,No,116.60065423894,0,117,117,0,0,15
7,1,9,SNR07,a,b,0.955343374234872,b,HIT,No,131.103081691203,132.058649151112,132,132,133,133,14.5
7,1,10,SNR11,a,b,0,None,None,No,145.605963016741,0,146,146,0,0,14.5
7,1,11,SNR09,a,b,0.984963166985835,b,HIT,No,160.108771642728,161.09388676603,161,161,162,162,14.5
7,1,12,SNR09,a,b,0,None,None,No,173.611566298997,0,174,174,0,0,13.5
7,1,13,SNR07,a,b,0.872767232858678,b,HIT,No,188.114302795626,188.987733162428,189,189,190,190,14.5
7,1,14,SNR07,a,b,1.22373044488995,b,HIT,No,202.117002372286,203.340900738884,203,203,204,204,14
7,1,15,SNR11,a,b,0,None,None,No,217.119880419217,0,218,218,0,0,15
7,1,16,SNR11,a,b,0,None,None,No,230.122643287251,0,231,231,0,0,13
7,1,17,SNR11,a,b,0,None,None,No,244.125432954336,0,245,245,0,0,14
7,1,18,catch,catch,None,0,None,None,No,257.1282471397,0,258,258,0,0,13
7,1,19,SNR11,a,b,0,None,None,No,271.631067739731,0,272,272,0,0,14.5
7,1,20,SNR11,a,b,0,None,None,No,285.634065242003,0,286,286,0,0,14
7,1,21,SNR09,a,b,0.990335806352959,b,HIT,No,300.637040506764,301.62757531032,301,301,302,302,15
7,1,22,SNR09,a,b,0.973137943548863,b,HIT,No,314.6399641691,315.613294267541,315,315,316,316,14
