subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
8,1,1,catch,catch,None,7.37635649544063,b,FA,No,19.0837469152416,26.4601464604535,20,20,27,27,14
8,1,2,SNR11,a,b,7.89093326202055,b,FA,No,32.0904527011308,39.9820576536221,33,33,41,41,13
8,1,2,SNR11,a,b,11.2779478544671,b,FA,No,0,43.3711910930879,0,0,44,44,13
8,1,3,SNR07,a,b,1.56138184633892,b,HIT,No,46.0939876290353,47.6556343312517,47,47,48,48,14
8,1,3,SNR07,a,b,10.8921061544643,b,FA,No,0,56.9896614976531,0,0,58,58,14
8,1,4,SNR07,a,b,1.11346978875554,b,HIT,No,59.5976377364601,60.7113689599175,60,60,61,61,13.5
8,1,5,SNR09,a,b,9.3515318876216,b,FA,No,73.6052076538502,82.9567592132212,74,74,83,83,14
8,1,6,SNR09,a,b,1.03393804482221,b,HIT,No,86.6122552720289,87.6456938254654,87,87,88,88,13
8,1,7,SNR11,a,b,0,None,None,No,101.615612869088,0,102,102,0,0,15
8,1,8,catch,catch,None,0,None,None,No,116.619703452649,0,117,117,0,0,15
8,1,9,SNR07,a,b,1.08854140532821,b,HIT,No,131.122102835925,132.21082784425,132,132,133,133,14.5
8,1,10,SNR11,a,b,7.33524824037522,b,FA,No,145.624987170598,152.9606117401,146,146,153,153,14.5
8,1,10,SNR11,a,b,10.5541600333891,b,FA,No,0,156.181386077191,0,0,157,157,14.5
8,1,11,SNR09,a,b,0.0882235212557134,b,HIT,No,160.127879773108,160.216319968708,161,161,161,161,14.5
8,1,12,SNR09,a,b,4.72005161410925,b,FA,No,173.630947425681,178.351162685941,174,174,179,179,13.5
8,1,13,SNR07,a,b,0,None,None,No,188.133898473244,0,189,189,0,0,14.5
8,1,14,SNR07,a,b,7.34950256131924,b,FA,No,202.136763421265,209.486448160093,203,203,210,210,14
8,1,15,SNR11,a,b,1.30329846777022,b,HIT,No,217.139795721708,218.443280928552,218,218,219,219,15
8,1,15,SNR11,a,b,5.34224397075195,b,FA,No,0,222.484455896507,0,0,223,223,15
8,1,15,SNR11,a,b,10.4752597811366,b,FA,No,0,227.620294460435,0,0,228,228,15
8,1,16,SNR11,a,b,0,None,None,No,230.1428739229,0,231,231,0,0,13
8,1,17,SNR11,a,b,7.74567791700792,b,FA,No,244.145767950899,251.891677367338,245,245,252,252,14
8,1,18,catch,catch,None,0,None,None,No,257.148554782117,0,258,258,0,0,13
8,1,19,SNR11,a,b,4.50954792608536,b,FA,No,271.651492430083,276.161316615957,272,272,277,277,14.5
8,1,20,SNR11,a,b,0.507539697020547,b,HIT,No,285.654528721895,286.162213533708,286,286,287,287,14
8,1,20,SNR11,a,b,4.17436639859807,b,FA,No,0,289.830906200536,0,0,290,290,14
8,1,20,SNR11,a,b,7.43721062570876,b,FA,No,0,293.093824838178,0,0,294,294,14
8,1,20,SNR11,a,b,10.5023751499612,b,FA,No,0,296.158851375084,0,0,297,297,14
8,1,21,SNR09,a,b,7.69517711417211,b,FA,No,300.657516832175,308.352861298769,301,301,309,309,15
8,1,22,SNR09,a,b,1.05207311732738,b,HIT,No,314.660480709141,315.712688677739,315,315,316,316,14
8,1,22,SNR09,a,b,5.16495817044779,b,FA,No,0,319.827462789032,0,0,320,320,14
8,1,22,SNR09,a,b,9.7227018834692,b,FA,No,0,324.385388394466,0,0,325,325,14
8,1,23,SNR07,a,b,0.995769148310501,b,HIT,No,327.663518141345,328.659390495067,328,328,329,329,13
8,1,23,SNR07,a,b,4.89457168043555,b,FA,No,0,332.560088357517,0,0,333,333,13
8,1,23,SNR07,a,b,8.91153614128052,b,FA,No,0,336.576967289016,0,0,337,337,13
8,1,23,SNR07,a,b,12.2904528151703,b,FA,No,0,339.955961509513,0,0,340,340,13
8,1,24,SNR11,a,b,2.30261480319132,b,HIT,No,341.166390501909,343.469158687729,342,342,344,344,13.5
