subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
9,1,1,catch,catch,None,0,None,None,No,19.0779737588092,0,20,20,0,0,14
9,1,2,SNR11,a,b,0,None,None,No,32.0856720338676,0,33,33,0,0,13
9,1,3,SNR07,a,b,1.06976572462918,b,HIT,No,46.0893863190117,47.1602607982406,47,47,48,48,14
9,1,4,SNR07,a,b,1.16128601848686,b,HIT,No,59.5945062905929,60.7559066342527,60,60,61,61,13.5
9,1,5,SNR09,a,b,1.13863851549468,b,HIT,No,73.6019642261996,74.7407629679955,74,74,75,75,14
9,1,6,SNR09,a,b,0,None,None,No,86.6064722302446,0,87,87,0,0,13
9,1,7,SNR11,a,b,0,None,None,No,101.609576401004,0,102,102,0,0,15
9,1,8,catch,catch,None,0,None,None,No,116.613475431064,0,117,117,0,0,15
9,1,9,SNR07,a,b,1.09991649415861,b,HIT,No,131.115891512539,132.216600014996,132,132,133,133,14.5
9,1,9,SNR07,a,b,12.4068413779587,b,FA,No,0,143.525665716048,0,0,144,144,14.5
9,1,10,SNR11,a,b,0,None,None,No,145.618552209968,0,146,146,0,0,14.5
9,1,11,SNR09,a,b,0,None,None,No,160.121290454646,0,161,161,0,0,14.5
9,1,12,SNR09,a,b,0,None,None,No,173.624055498741,0,174,174,0,0,13.5
9,1,13,SNR07,a,b,1.05958593760442,b,HIT,No,188.126819402436,189.186622586378,189,189,190,190,14.5
9,1,14,SNR07,a,b,1.0253938730275,b,HIT,No,202.129890216474,203.155438898898,203,203,204,204,14
9,1,15,SNR11,a,b,1.62042303734779,b,HIT,No,217.132661105122,218.753253777078,218,218,219,219,15
9,1,16,SNR11,a,b,0,None,None,No,230.135448244481,0,231,231,0,0,13
9,1,17,SNR11,a,b,0,None,None,No,244.138341726207,0,245,245,0,0,14
9,1,18,catch,catch,None,0,None,None,No,257.14089679402,0,258,258,0,0,13
9,1,19,SNR11,a,b,1.08382030819848,b,HIT,No,271.643640170501,272.727692550247,272,272,273,273,14.5
9,1,20,SNR11,a,b,0,None,None,No,285.646338073504,0,286,286,0,0,14
9,1,21,SNR09,a,b,0.958310941090531,b,HIT,No,300.649029419202,301.607536224116,301,301,302,302,15
9,1,22,SNR09,a,b,7.82361051438056,b,FA,No,314.651962244753,322.475913453849,315,315,323,323,14
9,1,23,SNR07,a,b,1.1624050366936,b,HIT,No,327.654755086116,328.81733517432,328,328,329,329,13
9,1,24,SNR11,a,b,0,None,None,No,341.157557478335,0,342,342,0,0,13.5
9,1,25,SNR07,a,b,0.975404407477981,b,HIT,No,354.160435849751,355.135997632528,355,355,356,356,13
9,1,26,SNR07,a,b,1.13259382147953,b,HIT,No,367.663167252025,368.795906474597,368,368,369,369,13.5
9,1,27,SNR09,a,b,1.29672599506375,b,HIT,No,382.16585360847,383.462741825536,383,383,384,384,14.5
9,1,28,SNR11,a,b,0,None,None,No,395.668628345971,0,396,396,0,0,13.5
9,1,29,SNR09,a,b,0,None,None,No,409.171512561942,0,410,410,0,0,13.5
9,1,30,SNR07,a,b,1.21272607375249,b,HIT,No,424.174326500717,425.387320853738,425,425,426,426,15
9,1,31,SNR09,a,b,1.35815624573297,b,HIT,No,439.177003306307,440.535338024752,440,440,441,441,15
9,1,32,SNR07,a,b,1.08404211613924,b,HIT,No,454.179699213608,455.263991077505,455,455,456,456,15
9,1,33,SNR09,a,b,0,None,None,No,467.182433894534,0,468,468,0,0,13
9,2,1,SNR07,a,b,1.01310976157401,b,HIT,No,19.5091139400018,20.5223289035418,20,504,21,505,14.5
9,2,2,SNR07,a,b,1.04127965504995,b,HIT,No,32.5117955922942,33.5531855811154,33,517,34,518,13
9,2,3,SNR07,a,b,1.09603171910385,b,HIT,No,45.5146990525266,46.6109177973502,46,530,47,531,13
9,2,4,SNR11,a,b,0,None,None,No,58.5176335886786,0,59,543,0,0,13
