subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
10,1,1,catch,catch,None,0,None,None,No,19.0656843554156,0,20,20,0,0,14
10,1,2,SNR11,a,b,0,None,None,No,32.0734689292726,0,33,33,0,0,13
10,1,3,SNR07,a,b,0.951363875586139,b,HIT,No,46.0773385509887,47.0297601364816,47,47,48,48,14
10,1,4,SNR07,a,b,0.233652394899764,b,HIT,No,59.5827194719547,59.8165996593661,60,60,60,60,13.5
10,1,4,SNR07,a,b,1.29056944706554,b,HIT,No,0,60.8756064726144,0,0,61,61,13.5
10,1,5,SNR09,a,b,0.800633371517506,b,HIT,No,73.5903478126502,74.3917560778406,74,74,75,75,14
10,1,6,SNR09,a,b,0.879953916919476,b,HIT,No,86.59752570007,87.4777034181421,87,87,88,88,13
10,1,7,SNR11,a,b,0.972460769226018,b,HIT,No,101.600859624504,102.573584108465,102,102,103,103,15
10,1,8,catch,catch,None,0,None,None,No,116.604942213687,0,117,117,0,0,15
10,1,9,SNR07,a,b,0.845896798303329,b,HIT,No,131.107417996122,131.953497826706,132,132,132,132,14.5
10,1,10,SNR11,a,b,0.960976776567804,b,HIT,No,145.610360767458,146.571603539536,146,146,147,147,14.5
10,1,11,SNR09,a,b,0.803944203094034,b,HIT,No,160.113305249377,160.917396277431,161,161,161,161,14.5
10,1,12,SNR09,a,b,0.80767013591776,b,HIT,No,173.616228919214,174.424090070128,174,174,175,175,13.5
10,1,13,SNR07,a,b,0.762388748019475,b,HIT,No,188.119230135438,188.881812464327,189,189,189,189,14.5
10,1,14,SNR07,a,b,0.849519811106802,b,HIT,No,202.122264422915,202.972431689331,203,203,204,204,14
10,1,15,SNR11,a,b,0.872077256728517,b,HIT,No,217.125129077671,217.997327785726,218,218,219,219,15
10,1,16,SNR11,a,b,1.03002983825354,b,HIT,No,230.127860307027,231.158054931352,231,231,232,232,13
10,1,17,SNR11,a,b,0.866631333644364,b,HIT,No,244.130791389386,244.997582662453,245,245,246,246,14
10,1,18,catch,catch,None,0,None,None,No,257.133685979328,0,258,258,0,0,13
10,1,19,SNR11,a,b,0,None,None,No,271.636939506406,0,272,272,0,0,14.5
10,1,20,SNR11,a,b,1.40199961340841,b,HIT,No,285.639662467948,287.041814608257,286,286,288,288,14
10,1,21,SNR09,a,b,0.927345877982589,b,HIT,No,300.642843010191,301.570513898764,301,301,302,302,15
10,1,22,SNR09,a,b,0.82805371683844,b,HIT,No,314.645859336556,315.474160802696,315,315,316,316,14
10,1,23,SNR07,a,b,0.878860284788971,b,HIT,No,327.648859697489,328.527911567469,328,328,329,329,13
10,1,24,SNR11,a,b,0,None,None,No,341.151815298192,0,342,342,0,0,13.5
10,1,25,SNR07,a,b,0.785237277688793,b,HIT,No,354.154894916093,354.940307243346,355,355,355,355,13
10,1,26,SNR07,a,b,0.934943428200313,b,HIT,No,367.658049229411,368.593181676929,368,368,369,369,13.5
10,1,27,SNR09,a,b,0.830713386843854,b,HIT,No,382.160787301095,382.991667754787,383,383,384,384,14.5
10,1,28,SNR11,a,b,0,None,None,No,395.663512258316,0,396,396,0,0,13.5
10,1,29,SNR09,a,b,0.940122215386509,b,HIT,No,409.166933707533,410.107227266222,410,410,411,411,13.5
10,1,30,SNR07,a,b,0.862991785214035,b,HIT,No,424.1697496107,425.032921577225,425,425,426,426,15
10,1,31,SNR09,a,b,0.978748298683058,b,HIT,No,439.172735431685,440.15163711256,440,440,441,441,15
10,1,32,SNR07,a,b,0.754361271508969,b,HIT,No,454.175653684679,454.930225072685,455,455,455,455,15
10,1,33,SNR09,a,b,0.862293297539509,b,HIT,No,467.178606434411,468.041040569875,468,468,469,469,13
10,2,1,SNR07,a,b,0.225752641850704,b,HIT,No,19.563435225104,19.7901839959083,20,508,20,508,14.5
10,2,2,SNR07,a,b,0.852564932269161,b,HIT,No,32.5711947104241,33.4240518671288,33,521,34,522,13
10,2,3,SNR07,a,b,0.814680101198974,b,HIT,No,45.5750047468652,46.3897986017702,46,534,47,535,13
10,2,4,SNR11,a,b,0,None,None,No,58.5787101527037,0,59,547,0,0,13
10,2,5,SNR11,a,b,9.40788601137319,b,FA,No,71.587851503231,80.9956029488154,72,560,82,570,13
10,2,6,SNR09,a,b,1.27842231876275,b,HIT,No,84.5911204255472,85.8710668729249,85,573,86,574,13
10,2,7,SNR11,a,b,0.989306296252835,b,HIT,No,99.0940455208694,100.08359899623,100,588,101,589,14.5
10,2,8,SNR11,a,b,0,None,None,No,114.097089786742,0,115,603,0,0,15
10,2,9,SNR09,a,b,0.859567485029402,b,HIT,No,128.600071616369,129.459848932796,129,617,130,618,14.5
10,2,10,SNR07,a,b,0.848436442467573,b,HIT,No,142.603144106845,143.45175730946,143,631,144,632,14
10,2,11,SNR11,a,b,0.926936193578513,b,HIT,No,156.606116528271,157.533383149284,157,645,158,646,14
10,2,12,SNR07,a,b,0.791881463506797,b,HIT,No,171.609239480918,172.40131965704,172,660,173,661,15
10,2,13,SNR07,a,b,0.749228384942398,b,HIT,No,186.112271772716,186.861681479357,187,675,187,675,14.5
10,2,14,SNR09,a,b,0.920929199579405,b,HIT,No,199.615377619543,200.536456209955,200,688,201,689,13.5
10,2,14,SNR09,a,b,10.4707453405172,b,FA,No,0,210.088739010223,0,0,211,699,13.5
10,2,15,SNR09,a,b,0,None,None,No,213.118282758074,0,214,702,0,0,13.5
10,2,16,SNR11,a,b,1.02645671742721,b,HIT,No,226.621400293878,227.648042039265,227,715,228,716,13.5
10,2,17,SNR11,a,b,1.05690336750922,b,HIT,No,241.624461095377,242.681549490845,242,730,243,731,15
10,2,18,SNR11,a,b,0.890825236101591,b,HIT,No,255.627318052514,256.518316057405,256,744,257,745,14
