subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
11,1,1,catch,catch,None,0,None,None,No,19.0619696602091,0,20,20,0,0,14
11,1,2,SNR11,a,b,0,None,None,No,32.0696496888559,0,33,33,0,0,13
11,1,3,SNR07,a,b,1.04354933758259,b,HIT,No,46.0734763034709,47.1181643311735,47,47,48,48,14
11,1,4,SNR07,a,b,1.31922439066147,b,HIT,No,59.5787125959255,60.8980895151843,60,60,61,61,13.5
11,1,5,SNR09,a,b,2.31346935843067,b,HIT,No,73.586287422606,75.8999312623466,74,74,76,76,14
11,1,6,SNR09,a,b,0,None,None,No,86.5908484552845,0,87,87,0,0,13
11,1,7,SNR11,a,b,0,None,None,No,101.594029603092,0,102,102,0,0,15
11,1,8,catch,catch,None,0,None,None,No,116.597887008526,0,117,117,0,0,15
11,1,9,SNR07,a,b,1.22592022497884,b,HIT,No,131.100148850804,132.326798932243,132,132,133,133,14.5
11,1,10,SNR11,a,b,0,None,None,No,145.603051598286,0,146,146,0,0,14.5
11,1,11,SNR09,a,b,0,None,None,No,160.10605299043,0,161,161,0,0,14.5
11,1,12,SNR09,a,b,0,None,None,No,173.609021881154,0,174,174,0,0,13.5
11,1,13,SNR07,a,b,0,None,None,No,188.111779227544,0,189,189,0,0,14.5
11,1,14,SNR07,a,b,1.07780982620534,b,HIT,No,202.114618255136,203.193367771534,203,203,204,204,14
11,1,15,SNR11,a,b,0,None,None,No,217.117567046297,0,218,218,0,0,15
11,1,16,SNR11,a,b,0,None,None,No,230.120389823178,0,231,231,0,0,13
11,1,17,SNR11,a,b,0,None,None,No,244.123173256235,0,245,245,0,0,14
11,1,18,catch,catch,None,0,None,None,No,257.125714354138,0,258,258,0,0,13
11,1,19,SNR11,a,b,0,None,None,No,271.628478542933,0,272,272,0,0,14.5
11,1,20,SNR11,a,b,0,None,None,No,285.631205241054,0,286,286,0,0,14
11,1,21,SNR09,a,b,0,None,None,No,300.63406793196,0,301,301,0,0,15
11,1,22,SNR09,a,b,1.42034685858198,b,HIT,No,314.636837965308,316.057440843851,315,315,317,317,14
11,1,23,SNR07,a,b,1.18541005531188,b,HIT,No,327.63966159749,328.825528668391,328,328,329,329,13
11,1,24,SNR11,a,b,0,None,None,No,341.14246570031,0,342,342,0,0,13.5
11,1,25,SNR07,a,b,1.30259050576569,b,HIT,No,354.145210074642,355.448036358256,355,355,356,356,13
11,1,26,SNR07,a,b,1.17379992068527,b,HIT,No,367.647940906716,368.821942393228,368,368,369,369,13.5
11,1,27,SNR09,a,b,1.35089702495134,b,HIT,No,382.150827403487,383.501890071643,383,383,384,384,14.5
11,1,28,SNR11,a,b,0,None,None,No,395.653688526343,0,396,396,0,0,13.5
11,1,29,SNR09,a,b,0,None,None,No,409.15650517357,0,410,410,0,0,13.5
11,1,30,SNR07,a,b,1.59689856620207,b,HIT,No,424.159297159632,425.756408410569,425,425,426,426,15
11,1,31,SNR09,a,b,1.31607175287354,b,HIT,No,439.162093137097,440.478314282464,440,440,441,441,15
11,1,32,SNR07,a,b,1.17384069001128,b,HIT,No,454.165008571537,455.33907420559,455,455,456,456,15
11,1,33,SNR09,a,b,0,None,None,No,467.16781880401,0,468,468,0,0,13
11,2,1,SNR07,a,b,1.06642007401751,b,HIT,No,19.5086808728285,20.575194174605,20,504,21,505,14.5
11,2,2,SNR07,a,b,1.05047128485239,b,HIT,No,32.5112738589649,33.5619264675318,33,517,34,518,13
11,2,3,SNR07,a,b,1.10265545158472,b,HIT,No,45.5140681258284,46.6168806676134,46,530,47,531,13
11,2,4,SNR11,a,b,0,None,None,No,58.5169000259156,0,59,543,0,0,13
11,2,5,SNR11,a,b,1.77954086896898,b,HIT,No,71.5198017755469,73.2995099983208,72,556,74,558,13
11,2,6,SNR09,a,b,1.31245269118881,b,HIT,No,84.5227508518081,85.8353899985146,85,569,86,570,13
11,2,7,SNR11,a,b,1.42943100561388,b,HIT,No,99.0256347826781,100.455244546105,100,584,101,585,14.5
11,2,7,SNR11,a,b,12.9364631441003,b,FA,No,0,111.964567749639,0,0,112,596,14.5
11,2,8,SNR11,a,b,1.86517726531201,b,HIT,No,114.028852708409,115.894129758785,115,599,116,600,15
11,2,8,SNR11,a,b,14.3381062904791,b,FA,No,0,128.369134883461,0,0,129,613,15
11,2,9,SNR09,a,b,1.43672500861612,b,HIT,No,128.533339472491,129.970018865079,129,613,130,614,14.5
11,2,10,SNR07,a,b,0,None,None,No,142.535950419938,0,143,627,0,0,14
11,2,11,SNR11,a,b,0,None,None,No,156.538717602285,0,157,641,0,0,14
11,2,12,SNR07,a,b,1.45979531517696,b,HIT,No,171.541633036725,173.002131123845,172,656,174,658,15
11,2,13,SNR07,a,b,1.2088683832153,b,HIT,No,186.044342486285,187.253463753361,187,671,188,672,14.5
11,2,14,SNR09,a,b,0,None,None,No,199.547096696573,0,200,684,0,0,13.5
11,2,15,SNR09,a,b,0,None,None,No,213.049853757863,0,214,698,0,0,13.5
11,2,16,SNR11,a,b,0,None,None,No,226.552765913651,0,227,711,0,0,13.5
11,2,17,SNR11,a,b,0,None,None,No,241.555526538693,0,242,726,0,0,15
11,2,18,SNR11,a,b,0,None,None,No,255.558337056267,0,256,740,0,0,14
11,2,19,SNR09,a,b,0,None,None,No,269.561100532311,0,270,754,0,0,14
11,2,20,SNR09,a,b,0,None,None,No,284.563866004056,0,285,769,0,0,15
11,2,21,SNR09,a,b,1.48993040419555,b,HIT,No,299.566604106184,301.056659669358,300,784,302,786,15
11,2,22,SNR07,a,b,1.48685474345439,b,HIT,No,313.069320683248,314.556339359306,314,798,315,799,13.5
11,2,23,catch,catch,None,0,None,None,No,326.072204756668,0,327,811,0,0,13
11,2,24,SNR09,a,b,1.28688490705281,b,HIT,No,340.074909787176,341.361995119655,341,825,342,826,14
11,2,25,SNR11,a,b,0,None,None,No,354.577742685113,0,355,839,0,0,14.5
11,2,26,SNR09,a,b,0,None,None,No,369.080519703416,0,370,854,0,0,14.5
11,2,27,SNR07,a,b,1.24918554006035,b,HIT,No,384.083329080589,385.332670855549,385,869,386,870,15
11,2,28,SNR09,a,b,0,None,None,No,397.086109662644,0,398,882,0,0,13
11,2,29,SNR07,a,b,1.16229641352584,b,HIT,No,410.588872996138,411.751353584379,411,895,412,896,13.5
11,2,30,catch,catch,None,0,None,None,No,424.591464556773,0,425,909,0,0,14
11,2,31,SNR07,a,b,0.971620272788641,b,HIT,No,438.594250270631,439.56609149606,439,923,440,924,14
11,2,32,catch,catch,None,0,None,None,No,453.596923940119,0,454,938,0,0,15
11,2,33,SNR11,a,b,0,None,None,No,467.099744578749,0,468,952,0,0,13.5
11,3,1,catch,catch,None,0,None,None,No,20.0071329214016,0,21,991,0,0,15
11,3,2,SNR11,a,b,0,None,None,No,34.0105834888792,0,35,1005,0,0,14
11,3,3,SNR11,a,b,0,None,None,No,48.0134213760702,0,49,1019,0,0,14
11,3,4,SNR11,a,b,0,None,None,No,63.0165549121478,0,64,1034,0,0,15
11,3,5,SNR07,a,b,1.19217747828407,b,HIT,No,76.0216248486474,77.2147765142455,77,1047,78,1048,13
11,3,6,SNR07,a,b,1.04228092688209,b,HIT,No,89.5242410704485,90.5667018955456,90,1060,91,1061,13.5
11,3,7,SNR09,a,b,1.24207884787575,b,HIT,No,102.527267693959,103.769522733746,103,1073,104,1074,13
11,3,8,SNR07,a,b,1.0837669944649,b,HIT,No,117.030484906939,118.114391030292,118,1088,119,1089,14.5
11,3,9,SNR09,a,b,1.03366263354474,b,HIT,No,130.033366129357,131.06724800494,131,1101,132,1102,13
11,3,10,SNR07,a,b,1.33273215208646,b,HIT,No,144.036251628278,145.369141440765,145,1115,146,1116,14
11,3,11,SNR07,a,b,1.14266241943551,b,HIT,No,157.539118738238,158.682083934063,158,1128,159,1129,13.5
11,3,12,SNR09,a,b,0,None,None,No,172.541940374719,0,173,1143,0,0,15
11,3,13,SNR07,a,b,1.29875533814447,b,HIT,No,187.544878332073,188.843795322019,188,1158,189,1159,15
11,3,14,SNR09,a,b,0,None,None,No,201.547663760831,0,202,1172,0,0,14
11,3,15,SNR11,a,b,0,None,None,No,215.050406852212,0,216,1186,0,0,13.5
11,3,16,catch,catch,None,0,None,None,No,229.053336541661,0,230,1200,0,0,14
11,3,17,SNR09,a,b,0,None,None,No,242.556024608707,0,243,1213,0,0,13.5
11,3,18,SNR11,a,b,0,None,None,No,257.05877026599,0,258,1228,0,0,14.5
11,3,19,SNR07,a,b,1.12002175884663,b,HIT,No,270.061666883818,271.181907599602,271,1241,272,1242,13
11,3,20,SNR09,a,b,0,None,None,No,284.564473837639,0,285,1255,0,0,14.5
11,3,21,SNR11,a,b,0,None,None,No,298.067498607998,0,299,1269,0,0,13.5
11,3,22,catch,catch,None,0,None,None,No,311.070158022477,0,312,1282,0,0,13
11,3,23,SNR09,a,b,0,None,None,No,325.572996337318,0,326,1296,0,0,14.5
11,3,24,SNR09,a,b,1.09225642252386,b,HIT,No,339.075739428699,340.168245028779,340,1310,341,1311,13.5
11,3,25,SNR11,a,b,0,None,None,No,352.078486939133,0,353,1323,0,0,13
11,3,26,SNR11,a,b,0,None,None,No,365.081274078492,0,366,1336,0,0,13
11,3,27,SNR11,a,b,0,None,None,No,379.584094717122,0,380,1350,0,0,14.5
11,3,28,SNR07,a,b,1.02669307454562,b,HIT,No,394.086828685298,395.114089109202,395,1365,396,1366,14.5
11,3,29,SNR09,a,b,1.08783052733088,b,HIT,No,408.0896845338,409.177693248742,409,1379,410,1380,14
11,3,30,SNR07,a,b,1.11074317349085,b,HIT,No,422.092649860771,423.203557822165,423,1393,424,1394,14
11,3,31,SNR09,a,b,1.14263419451527,b,HIT,No,437.095430157726,438.238304976794,438,1408,439,1409,15
