subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
12,1,1,catch,catch,None,0,None,None,No,19.0689434957102,0,20,20,0,0,14
12,1,2,SNR11,a,b,0,None,None,No,32.0764077035209,0,33,33,0,0,13
12,1,3,SNR07,a,b,0.852593798672387,b,HIT,No,46.0800350331101,46.9335727984778,47,47,47,47,14
12,1,4,SNR07,a,b,0.906370820110169,b,HIT,No,59.585119652269,60.4916338777701,60,60,61,61,13.5
12,1,5,SNR09,a,b,0,None,None,No,73.5922819389891,0,74,74,0,0,14
12,1,6,SNR09,a,b,0.91837268238487,b,HIT,No,86.5993267644351,87.5173616031069,87,87,88,88,13
12,1,7,SNR11,a,b,0,None,None,No,101.602530720257,0,102,102,0,0,15
12,1,8,catch,catch,None,0,None,None,No,116.606447141429,0,117,117,0,0,15
12,1,9,SNR07,a,b,0.817783351802063,b,HIT,No,131.108833287385,131.927316275029,132,132,132,132,14.5
12,1,10,SNR11,a,b,0,None,None,No,145.611615722591,0,146,146,0,0,14.5
12,1,11,SNR09,a,b,0.86196504158579,b,HIT,No,160.114416404208,160.977504740503,161,161,162,162,14.5
12,1,12,SNR09,a,b,0,None,None,No,173.61728722047,0,174,174,0,0,13.5
12,1,13,SNR07,a,b,0.952817915922424,b,HIT,No,188.120096740193,189.073218002708,189,189,190,190,14.5
12,1,14,SNR07,a,b,0.881253779358303,b,HIT,No,202.122902981264,203.004280209001,203,203,204,204,14
12,1,15,SNR11,a,b,0.871842337319322,b,HIT,No,217.125807581897,217.997846638341,218,218,219,219,15
12,1,16,SNR11,a,b,1.00386168193654,b,HIT,No,230.128677400308,231.132767162389,231,231,232,232,13
12,1,17,SNR11,a,b,0,None,None,No,244.13140523883,0,245,245,0,0,14
12,1,18,catch,catch,None,0,None,None,No,257.134022743582,0,258,258,0,0,13
12,1,19,SNR11,a,b,0,None,None,No,271.636848514015,0,272,272,0,0,14.5
12,1,20,SNR11,a,b,0,None,None,No,285.639743421242,0,286,286,0,0,14
12,1,21,SNR09,a,b,0,None,None,No,300.642512029089,0,301,301,0,0,15
12,1,22,SNR09,a,b,0.883523746992068,b,HIT,No,314.645245569614,315.528985992743,315,315,316,316,14
12,1,23,SNR07,a,b,0,None,None,No,327.648104839319,0,328,328,0,0,13
12,1,24,SNR11,a,b,0,None,None,No,341.15110081456,0,342,342,0,0,13.5
12,1,25,SNR07,a,b,0,None,None,No,354.153893941022,0,355,355,0,0,13
12,1,26,SNR07,a,b,1.03927768158792,b,HIT,No,367.65699597353,368.696459825536,368,368,369,369,13.5
12,1,27,SNR09,a,b,0,None,None,No,382.15979979125,0,383,383,0,0,14.5
12,1,28,SNR11,a,b,0,None,None,No,395.662578805253,0,396,396,0,0,13.5
12,1,29,SNR09,a,b,0.997438945085378,b,HIT,No,409.165383763374,410.163230971915,410,410,411,411,13.5
12,1,30,SNR07,a,b,1.01323948215577,b,HIT,No,424.168465981419,425.182019358872,425,425,426,426,15
12,1,30,SNR07,a,b,9.68717838917837,b,FA,No,0,433.858029803803,0,0,434,434,15
12,1,31,SNR09,a,b,0,None,None,No,439.171255686679,0,440,440,0,0,15
12,1,32,SNR07,a,b,1.12851289750506,b,HIT,No,454.173951308881,455.302652372504,455,455,456,456,15
12,1,33,SNR09,a,b,0,None,None,No,467.176795753376,0,468,468,0,0,13
12,2,1,SNR07,a,b,0.832389604220225,b,HIT,No,19.508716510351,20.341232699052,20,504,21,505,14.5
12,2,2,SNR07,a,b,0.920429395084284,b,HIT,No,32.5112998030813,33.4319293384906,33,517,34,518,13
12,2,3,SNR07,a,b,0.894461900494207,b,HIT,No,45.5141086100539,46.4088134159021,46,530,47,531,13
12,2,4,SNR11,a,b,0,None,None,No,58.5169222637296,0,59,543,0,0,13
12,2,5,SNR11,a,b,0,None,None,No,71.5197878056381,0,72,556,0,0,13
12,2,6,SNR09,a,b,0.838828306683354,b,HIT,No,84.5225897702064,85.3615757372905,85,569,86,570,13
12,2,7,SNR11,a,b,0,None,None,No,99.0254258042462,0,100,584,0,0,14.5
12,2,8,SNR11,a,b,0,None,None,No,114.028344659888,0,115,599,0,0,15
12,2,9,SNR09,a,b,0,None,None,No,128.531223458955,0,129,613,0,0,14.5
