subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
13,1,1,catch,catch,None,0,None,None,No,19.0831704689269,0,20,20,0,0,14
13,1,2,SNR11,a,b,0,None,None,No,32.0909469057759,0,33,33,0,0,13
13,1,3,SNR07,a,b,0.874927833607217,b,HIT,No,46.09477981445,46.9707682267723,47,47,47,47,14
13,1,4,SNR07,a,b,0.821022494819772,b,HIT,No,59.5997914765394,60.4209243057557,60,60,61,61,13.5
13,1,5,SNR09,a,b,0,None,None,No,73.6070327772993,0,74,74,0,0,14
13,1,6,SNR09,a,b,1.27684098076134,b,HIT,No,86.611391413703,87.888101247634,87,87,88,88,13
13,1,7,SNR11,a,b,0,None,None,No,101.614330243115,0,102,102,0,0,15
13,1,8,catch,catch,None,0,None,None,No,116.618447113187,0,117,117,0,0,15
13,1,9,SNR07,a,b,0.869510899301531,b,HIT,No,131.120819017659,131.990910099133,132,132,133,133,14.5
13,1,10,SNR11,a,b,0,None,None,No,145.623767397981,0,146,146,0,0,14.5
13,1,11,SNR09,a,b,0,None,None,No,160.126611145941,0,161,161,0,0,14.5
13,1,12,SNR09,a,b,0,None,None,No,173.629389605587,0,174,174,0,0,13.5
13,1,13,SNR07,a,b,1.04575570367524,b,HIT,No,188.132326581837,189.179297389408,189,189,190,190,14.5
13,1,14,SNR07,a,b,0.994937732339167,b,HIT,No,202.135057572033,203.13027584455,203,203,204,204,14
13,1,15,SNR11,a,b,0,None,None,No,217.137868105632,0,218,218,0,0,15
13,1,16,SNR11,a,b,0,None,None,No,230.140597100115,0,231,231,0,0,13
13,1,17,SNR11,a,b,0,None,None,No,244.143351468659,0,245,245,0,0,14
13,1,18,catch,catch,None,0,None,None,No,257.145963856504,0,258,258,0,0,13
13,1,19,SNR11,a,b,1.01801358738157,b,HIT,No,271.648732622689,272.666951198269,272,272,273,273,14.5
13,1,20,SNR11,a,b,0,None,None,No,285.651529471401,0,286,286,0,0,14
13,1,21,SNR09,a,b,0,None,None,No,300.654515057509,0,301,301,0,0,15
13,1,22,SNR09,a,b,0,None,None,No,314.657268570748,0,315,315,0,0,14
13,1,23,SNR07,a,b,0.879660523576604,b,HIT,No,327.660042326214,328.539857945174,328,328,329,329,13
13,1,24,SNR11,a,b,0,None,None,No,341.162806815872,0,342,342,0,0,13.5
13,1,25,SNR07,a,b,1.0568840824526,b,HIT,No,354.165700028995,355.222730368674,355,355,356,356,13
13,1,26,SNR07,a,b,0,None,None,No,367.668520113505,0,368,368,0,0,13.5
13,1,27,SNR09,a,b,0,None,None,No,382.171344474542,0,383,383,0,0,14.5
13,1,28,SNR11,a,b,0,None,None,No,395.674240396132,0,396,396,0,0,13.5
13,1,29,SNR09,a,b,0,None,None,No,409.176996332735,0,410,410,0,0,13.5
