subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
14,1,1,SNR11,a,b,0,None,None,No,20.0802111884611,0,21,21,0,0,15
14,1,2,SNR09,a,b,0,None,None,No,35.0864000743533,0,36,36,0,0,15
14,1,3,SNR11,a,b,1.20527469382068,b,HIT,No,49.0899526681944,50.2964601214855,50,50,51,51,14
14,1,4,SNR09,a,b,0,None,None,No,63.5949090797126,0,64,64,0,0,14.5
14,1,5,SNR09,a,b,1.05515771851788,b,HIT,No,77.1029314244758,78.1578992683841,78,78,79,79,13.5
14,1,6,SNR09,a,b,0.885507036478884,b,HIT,No,92.1058134701495,92.9923220524248,93,93,94,94,15
14,1,7,SNR11,a,b,0.984510964546644,b,HIT,No,105.108523602326,106.09375557721,106,106,107,107,13
14,1,8,SNR09,a,b,1.03849807474035,b,HIT,No,119.111217198876,120.15064069851,120,120,121,121,14
14,1,9,catch,catch,None,0,None,None,No,132.114543140594,0,133,133,0,0,13
14,1,10,SNR09,a,b,0.872979588764792,b,HIT,No,145.617209367832,146.490465785793,146,146,147,147,13.5
14,1,11,SNR11,a,b,0,None,None,No,159.119950005388,0,160,160,0,0,13.5
14,1,12,SNR07,a,b,0.9508874784824,b,HIT,No,173.622749087832,174.573901706534,174,174,175,175,14.5
14,1,13,SNR07,a,b,0.947802443737601,b,HIT,No,187.125469768598,188.073765430163,188,188,189,189,13.5
14,1,14,catch,catch,None,0,None,None,No,201.128233499013,0,202,202,0,0,14
14,1,15,SNR11,a,b,0,None,None,No,215.130856106407,0,216,216,0,0,14
14,1,16,SNR11,a,b,0,None,None,No,228.133591612218,0,229,229,0,0,13
14,1,17,SNR11,a,b,0,None,None,No,243.136266677462,0,244,244,0,0,15
14,1,18,SNR09,a,b,1.09598446563541,b,HIT,No,257.139022425161,258.235171391769,258,258,259,259,14
14,1,19,SNR07,a,b,0.950894035713645,b,HIT,No,271.141731416949,272.092807059458,272,272,273,273,14
14,1,20,SNR07,a,b,1.0536817712964,b,HIT,No,286.144585523116,287.198488814789,287,287,288,288,15
14,1,21,SNR09,a,b,1.49289965896787,b,HIT,No,299.147264294622,300.640310778549,300,300,301,301,13
14,1,22,catch,catch,None,0,None,None,No,314.149978133059,0,315,315,0,0,15
14,1,23,SNR09,a,b,0,None,None,No,327.152592757738,0,328,328,0,0,13
14,1,24,SNR07,a,b,1.06370407158465,b,HIT,No,340.655418354203,341.719330261508,341,341,342,342,13.5
14,1,25,SNR07,a,b,1.11273733613416,b,HIT,No,353.658139320066,354.771109865554,354,354,355,355,13
14,1,26,SNR07,a,b,2.77984609322993,b,HIT,No,367.660863992191,370.440894543186,368,368,371,371,14
