subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
17,1,1,catch,catch,None,1.50288007462223,b,HIT,No,19.0637718999141,20.5667246749011,20,20,21,21,14
17,1,2,SNR11,a,b,0,None,None,No,32.0701395960939,0,33,33,0,0,13
17,1,3,SNR07,a,b,0.869295587690431,b,HIT,No,46.0776368562882,46.9473629441422,47,47,47,47,14
17,1,4,SNR07,a,b,0.82729074555391,b,HIT,No,59.5807156452314,60.4085603390175,60,60,61,61,13.5
17,1,5,SNR09,a,b,0.776353452602052,b,HIT,No,73.5849992644434,74.3610593497224,74,74,75,75,14
17,1,6,SNR09,a,b,0.886114174340037,b,HIT,No,86.5882459769617,87.475371113952,87,87,88,88,13
17,1,7,SNR11,a,b,0,None,None,No,101.591104384031,0,102,102,0,0,15
17,1,8,catch,catch,None,0,None,None,No,116.59507981074,0,117,117,0,0,15
17,1,9,SNR07,a,b,0.974439694051398,b,HIT,No,131.097571865018,132.072180908144,132,132,133,133,14.5
17,1,10,SNR11,a,b,0.972606789699057,b,HIT,No,145.600419153209,146.573341547999,146,146,147,147,14.5
17,1,11,SNR09,a,b,0.92094648454804,b,HIT,No,160.103275564582,161.024345782296,161,161,162,162,14.5
17,1,12,SNR09,a,b,0.847375716606621,b,HIT,No,173.606138533243,174.45364397009,174,174,175,175,13.5
17,1,13,SNR07,a,b,0.816373717490933,b,HIT,No,188.108892308815,188.92546531081,189,189,189,189,14.5
17,1,14,SNR07,a,b,0.795516982238041,b,HIT,No,202.111777230133,202.907454438257,203,203,203,203,14
17,1,15,SNR11,a,b,0,None,None,No,217.114537848092,0,218,218,0,0,15
17,1,16,SNR11,a,b,0,None,None,No,230.117474942609,0,231,231,0,0,13
17,1,17,SNR11,a,b,0,None,None,No,244.120355017237,0,245,245,0,0,14
17,1,18,catch,catch,None,0,None,None,No,257.122961111295,0,258,258,0,0,13
17,1,19,SNR11,a,b,0,None,None,No,271.625734558729,0,272,272,0,0,14.5
17,1,20,SNR11,a,b,0,None,None,No,285.628642573102,0,286,286,0,0,14
17,1,21,SNR09,a,b,1.01312483820948,b,HIT,No,300.631642959697,301.644949691351,301,301,302,302,15
17,1,22,SNR09,a,b,1.7850572536845,b,HIT,No,314.634513340944,316.419771874825,315,315,317,317,14
17,1,23,SNR07,a,b,0.978001726558432,b,HIT,No,327.637478090107,328.615672543897,328,328,329,329,13
17,1,24,SNR11,a,b,0,None,None,No,341.140418320719,0,342,342,0,0,13.5
17,1,25,SNR07,a,b,0.863889817046584,b,HIT,No,354.143334888076,355.00740146678,355,355,356,356,13
17,1,26,SNR07,a,b,0.838161017323728,b,HIT,No,367.646189303753,368.484516248958,368,368,369,369,13.5
17,1,27,SNR09,a,b,0,None,None,No,382.149161465502,0,383,383,0,0,14.5
17,1,28,SNR11,a,b,0,None,None,No,395.652080883854,0,396,396,0,0,13.5
17,1,29,SNR09,a,b,0,None,None,No,409.155021684664,0,410,410,0,0,13.5
17,1,30,SNR07,a,b,0.839764701726381,b,HIT,No,424.158049440806,424.998391754012,425,425,426,426,15
