subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
20,1,1,catch,catch,None,0,None,None,No,19.0618926329942,0,20,20,0,0,14
20,1,2,SNR11,a,b,0,None,None,No,32.0694095436198,0,33,33,0,0,13
20,1,3,SNR07,a,b,1.15472759111435,b,HIT,No,46.0732549540164,47.2293108196643,47,47,48,48,14
20,1,4,SNR07,a,b,0.956345126731321,b,HIT,No,59.5785338403527,60.5357559304793,60,60,61,61,13.5
20,1,5,SNR09,a,b,0,None,None,No,73.585974344544,0,74,74,0,0,14
20,1,6,SNR09,a,b,0,None,None,No,86.5904073432285,0,87,87,0,0,13
20,1,7,SNR11,a,b,0,None,None,No,101.593380921998,0,102,102,0,0,15
20,1,8,catch,catch,None,0,None,None,No,116.597230608874,0,117,117,0,0,15
20,1,9,SNR07,a,b,0.894138600124279,b,HIT,No,131.09951111286,131.993948496361,132,132,133,133,14.5
20,1,10,SNR11,a,b,0,None,None,No,145.602332163859,0,146,146,0,0,14.5
20,1,11,SNR09,a,b,0,None,None,No,160.105055711124,0,161,161,0,0,14.5
20,1,12,SNR09,a,b,0.94200609085965,b,HIT,No,173.607799215295,174.550219839558,174,174,175,175,13.5
20,1,13,SNR07,a,b,0.992984007680207,b,HIT,No,188.110567237947,189.10494594815,189,189,190,190,14.5
20,1,14,SNR07,a,b,1.6792666008696,b,HIT,No,202.113270258111,203.792792022256,203,203,204,204,14
20,1,15,SNR11,a,b,0,None,None,No,217.116087317729,0,218,218,0,0,15
20,1,16,SNR11,a,b,0,None,None,No,230.118835668576,0,231,231,0,0,13
20,1,17,SNR11,a,b,0,None,None,No,244.121619371654,0,245,245,0,0,14
20,1,18,catch,catch,None,0,None,None,No,257.124204075884,0,258,258,0,0,13
20,1,19,SNR11,a,b,1.84947048629692,b,HIT,No,271.627035105335,273.476677221018,272,272,274,274,14.5
20,1,20,SNR11,a,b,0,None,None,No,285.629881815212,0,286,286,0,0,14
20,1,21,SNR09,a,b,1.16237023023132,b,HIT,No,300.632641284905,301.795224768913,301,301,302,302,15
