subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
21,1,1,catch,catch,None,0,None,None,No,19.0810073019671,0,20,20,0,0,14
21,1,2,SNR11,a,b,0,None,None,No,32.088904271588,0,33,33,0,0,13
21,1,3,SNR07,a,b,0.968804133257436,b,HIT,No,46.0926903922626,47.0625856011094,47,47,48,48,14
21,1,4,SNR07,a,b,1.0904061754818,b,HIT,No,59.5980015098867,60.6885029085846,60,60,61,61,13.5
21,1,5,SNR09,a,b,0,None,None,No,73.6056612767666,0,74,74,0,0,14
21,1,6,SNR09,a,b,0,None,None,No,86.6127479937552,0,87,87,0,0,13
21,1,7,SNR11,a,b,0,None,None,No,101.615798557853,0,102,102,0,0,15
21,1,8,catch,catch,None,0,None,None,No,116.619858659097,0,117,117,0,0,15
21,1,9,SNR07,a,b,0.988056613908157,b,HIT,No,131.122279723613,132.110691001235,132,132,133,133,14.5
21,1,10,SNR11,a,b,0,None,None,No,145.625222805219,0,146,146,0,0,14.5
21,1,11,SNR09,a,b,0,None,None,No,160.12835946935,0,161,161,0,0,14.5
21,1,12,SNR09,a,b,0,None,None,No,173.631327639707,0,174,174,0,0,13.5
21,1,13,SNR07,a,b,0.980531699066887,b,HIT,No,188.134284976285,189.115656008129,189,189,190,190,14.5
21,1,14,SNR07,a,b,0.946246779802095,b,HIT,No,202.137185007874,203.084263707867,203,203,204,204,14
21,1,15,SNR11,a,b,0,None,None,No,217.140068788795,0,218,218,0,0,15
21,1,16,SNR11,a,b,0,None,None,No,230.143066039296,0,231,231,0,0,13
21,1,17,SNR11,a,b,0,None,None,No,244.145995151029,0,245,245,0,0,14
21,1,18,catch,catch,None,0,None,None,No,257.148744650109,0,258,258,0,0,13
21,1,19,SNR11,a,b,0,None,None,No,271.651609614466,0,272,272,0,0,14.5
21,1,20,SNR11,a,b,0,None,None,No,285.654427252314,0,286,286,0,0,14
21,1,21,SNR09,a,b,0,None,None,No,300.657387439887,0,301,301,0,0,15
21,1,22,SNR09,a,b,0,None,None,No,314.660302581747,0,315,315,0,0,14
21,1,23,SNR07,a,b,0.999565223341051,b,HIT,No,327.663220574601,328.663164695109,328,328,329,329,13
21,1,24,SNR11,a,b,0,None,None,No,341.166170213494,0,342,342,0,0,13.5
21,1,25,SNR07,a,b,0.96840870032247,b,HIT,No,354.169114435497,355.137713867351,355,355,356,356,13
21,1,26,SNR07,a,b,1.1313376181879,b,HIT,No,367.672025585965,368.803635189027,368,368,369,369,13.5
21,1,27,SNR09,a,b,0,None,None,No,382.174978360952,0,383,383,0,0,14.5
21,1,28,SNR11,a,b,0,None,None,No,395.677843895508,0,396,396,0,0,13.5
21,1,29,SNR09,a,b,0,None,None,No,409.180753335378,0,410,410,0,0,13.5
21,1,30,SNR07,a,b,1.01700019500822,b,HIT,No,424.183664770945,425.200923266054,425,425,426,426,15
21,1,31,SNR09,a,b,0,None,None,No,439.186773210231,0,440,440,0,0,15
21,1,32,SNR07,a,b,0,None,None,No,454.189830901815,0,455,455,0,0,15
21,1,33,SNR09,a,b,0,None,None,No,467.192766570835,0,468,468,0,0,13
21,2,1,SNR07,a,b,1.13918925699636,b,HIT,No,19.561969216102,20.7022851861186,20,505,21,506,14.5
21,2,2,SNR07,a,b,0.909998665734747,b,HIT,No,32.5697059598329,33.4801653462761,33,518,34,519,13
21,2,3,SNR07,a,b,1.02106428764455,b,HIT,No,45.5735043397838,46.5947585036612,46,531,47,532,13
21,2,4,SNR11,a,b,0,None,None,No,58.577190390552,0,59,544,0,0,13
21,2,5,SNR11,a,b,0,None,None,No,71.5857108726666,0,72,557,0,0,13
21,2,6,SNR09,a,b,0,None,None,No,84.5890080477872,0,85,570,0,0,13
21,2,7,SNR11,a,b,0,None,None,No,99.0919673800615,0,100,585,0,0,14.5
21,2,8,SNR11,a,b,0,None,None,No,114.094882807021,0,115,600,0,0,15
21,2,9,SNR09,a,b,0.975731764754528,b,HIT,No,128.597793387289,129.57432827719,129,614,130,615,14.5
21,2,10,SNR07,a,b,0.974403486424308,b,HIT,No,142.60095628057,143.576208508052,143,628,144,629,14
21,2,11,SNR11,a,b,0,None,None,No,156.603905349264,0,157,642,0,0,14
21,2,12,SNR07,a,b,1.28406425229241,b,HIT,No,171.606901174268,172.891164140876,172,657,173,658,15
21,2,13,SNR07,a,b,1.04688118309423,b,HIT,No,186.109808618442,187.156868273791,187,672,188,673,14.5
21,2,14,SNR09,a,b,1.13083498786,b,HIT,No,199.612913921634,200.743875778749,200,685,201,686,13.5
21,2,15,SNR09,a,b,1.02337701437045,b,HIT,No,213.115938826782,214.139511704473,214,699,215,700,13.5
