subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
22,1,1,catch,catch,None,0,None,None,No,19.0649302738243,0,20,20,0,0,14
22,1,2,SNR11,a,b,1.23549982352597,b,HIT,No,32.0722233404361,33.3086662648699,33,33,34,34,13
22,1,3,SNR07,a,b,1.32015481908093,b,HIT,No,46.0771917260286,47.3976196680444,47,47,48,48,14
22,1,4,SNR07,a,b,0.970205081683162,b,HIT,No,59.5806271449986,60.5511751983848,60,60,61,61,13.5
22,1,5,SNR09,a,b,1.08366713441683,b,HIT,No,73.5879569891247,74.6723459891697,74,74,75,75,14
22,1,5,SNR09,a,b,6.26862752588931,b,FA,No,0,79.8593362713531,0,0,80,80,14
22,1,6,SNR09,a,b,1.16550508641558,b,HIT,No,86.5923107055638,87.7576213558187,87,87,88,88,13
22,1,7,SNR11,a,b,0,None,None,No,101.595242928311,0,102,102,0,0,15
22,1,8,catch,catch,None,0,None,None,No,116.599068645088,0,117,117,0,0,15
22,1,9,SNR07,a,b,0.980708625724219,b,HIT,No,131.101538440485,132.08250251313,132,132,133,133,14.5
22,1,10,SNR11,a,b,0,None,None,No,145.604547069231,0,146,146,0,0,14.5
22,1,11,SNR09,a,b,1.07224557800328,b,HIT,No,160.107453348151,161.179919591239,161,161,162,162,14.5
22,1,12,SNR09,a,b,1.0750520729689,b,HIT,No,173.610386711286,174.685665721475,174,174,175,175,13.5
22,1,13,SNR07,a,b,0.984272623445577,b,HIT,No,188.113332903787,189.09773068482,189,189,190,190,14.5
22,1,14,SNR07,a,b,1.05656752323011,b,HIT,No,202.116329273362,203.173061297568,203,203,204,204,14
22,1,15,SNR11,a,b,0.975218797701018,b,HIT,No,217.119335906429,218.094787343289,218,218,219,219,15
22,1,16,SNR11,a,b,1.49802456281941,b,HIT,No,230.122239619475,231.620481426215,231,231,232,232,13
22,1,17,SNR11,a,b,0,None,None,No,244.125128792574,0,245,245,0,0,14
22,1,18,catch,catch,None,0,None,None,No,257.127834648296,0,258,258,0,0,13
22,1,19,SNR11,a,b,0,None,None,No,271.630868365579,0,272,272,0,0,14.5
22,1,20,SNR11,a,b,0,None,None,No,285.6338698669,0,286,286,0,0,14
22,1,21,SNR09,a,b,0.958023741739453,b,HIT,No,300.636818625274,301.595120906791,301,301,302,302,15
22,1,22,SNR09,a,b,1.02207449128764,b,HIT,No,314.639608584613,315.661830185957,315,315,316,316,14
22,1,23,SNR07,a,b,0.846912598950439,b,HIT,No,327.642413939191,328.489521829593,328,328,329,329,13
22,1,23,SNR07,a,b,7.11369298131103,b,FA,No,0,334.758396819686,0,0,335,335,13
22,1,24,SNR11,a,b,0,None,None,No,341.145251794828,0,342,342,0,0,13.5
22,1,25,SNR07,a,b,0.979634095094298,b,HIT,No,354.148129849144,355.128014544509,355,355,356,356,13
22,1,26,SNR07,a,b,0.961632214593919,b,HIT,No,367.650988231766,368.612783521849,368,368,369,369,13.5
22,1,27,SNR09,a,b,0,None,None,No,382.153747400628,0,383,383,0,0,14.5
22,1,28,SNR11,a,b,1.01596942391734,b,HIT,No,395.656868642693,396.673046187426,396,396,397,397,13.5
22,1,29,SNR09,a,b,0,None,None,No,409.159608424959,0,410,410,0,0,13.5
22,1,30,SNR07,a,b,0.954917894912796,b,HIT,No,424.162398099201,425.117549203467,425,425,426,426,15
22,1,31,SNR09,a,b,0,None,None,No,439.165259047696,0,440,440,0,0,15
22,1,32,SNR07,a,b,1.04361955742752,b,HIT,No,454.168021637723,455.212008970292,455,455,456,456,15
22,1,33,SNR09,a,b,1.15455451026355,b,HIT,No,467.170793065756,468.325580785374,468,468,469,469,13
22,2,1,SNR07,a,b,0.966105101582798,b,HIT,No,19.5088579640994,20.4750531563375,20,505,21,506,14.5
22,2,2,SNR07,a,b,0.862844104964097,b,HIT,No,32.5115595433658,33.374650257243,33,518,34,519,13
22,2,3,SNR07,a,b,0.950893750617979,b,HIT,No,45.514368889302,46.4653943547371,46,531,47,532,13
22,2,4,SNR11,a,b,6.84258853259962,b,FA,No,58.5172822956467,65.3600011175803,59,544,66,551,13
22,2,5,SNR11,a,b,0.923335418343413,b,HIT,No,71.5202755291543,72.4438213490905,72,557,73,558,13
22,2,6,SNR09,a,b,1.14328576584739,b,HIT,No,84.523100555426,85.666570779039,85,570,86,571,13
22,2,7,SNR11,a,b,0,None,None,No,99.0260986355827,0,100,585,0,0,14.5
22,2,8,SNR11,a,b,0,None,None,No,114.02906421468,0,115,600,0,0,15
22,2,9,SNR09,a,b,1.04635648872136,b,HIT,No,128.532057733285,129.578657979951,129,614,130,615,14.5
22,2,10,SNR07,a,b,1.03134299508019,b,HIT,No,142.535002500301,143.566493175633,143,628,144,629,14
22,2,11,SNR11,a,b,1.30795608821973,b,HIT,No,156.537950403384,157.846114612419,157,642,158,643,14
22,2,12,SNR07,a,b,1.01073646829718,b,HIT,No,171.540938505145,172.551830066217,172,657,173,658,15
22,2,12,SNR07,a,b,7.70770685641219,b,FA,No,0,179.251018794165,0,0,180,665,15
22,2,13,SNR07,a,b,0.974416819810358,b,HIT,No,186.043850200908,187.018482268962,187,672,188,673,14.5
22,2,14,SNR09,a,b,1.03117307726279,b,HIT,No,199.546824332916,200.578229194048,200,685,201,686,13.5
22,2,15,SNR09,a,b,0.943351509216882,b,HIT,No,213.049762257603,213.993654310752,214,699,215,700,13.5
22,2,16,SNR11,a,b,1.00874449548974,b,HIT,No,226.552697616418,227.561894560862,227,712,228,713,13.5
22,2,17,SNR11,a,b,0,None,None,No,241.555645804598,0,242,727,0,0,15
22,2,18,SNR11,a,b,0,None,None,No,255.558594562972,0,256,741,0,0,14
22,2,19,SNR09,a,b,0,None,None,No,269.561620867733,0,270,755,0,0,14
22,2,20,SNR09,a,b,0,None,None,No,284.564545392861,0,285,770,0,0,15
22,2,21,SNR09,a,b,1.00764345083735,b,HIT,No,299.567411758199,300.575202033996,300,785,301,786,15
22,2,22,SNR07,a,b,0.797345062605018,b,HIT,No,313.070400715251,313.867911989413,314,799,314,799,13.5
22,2,23,catch,catch,None,9.26181085638018,b,FA,No,326.073622311464,335.335490472343,327,812,336,821,13
22,2,24,SNR09,a,b,1.17779989497103,b,HIT,No,340.076453039676,341.254393202375,341,826,342,827,14
22,2,25,SNR11,a,b,0,None,None,No,354.579535508548,0,355,840,0,0,14.5
22,2,26,SNR09,a,b,1.00113639668234,b,HIT,No,369.082340578028,370.083756654877,370,855,371,856,14.5
22,2,27,SNR07,a,b,0.947128759502448,b,HIT,No,384.085230321321,385.032495072098,385,870,386,871,15
22,2,28,SNR09,a,b,1.12865544258784,b,HIT,No,397.088280574231,398.217235083582,398,883,399,884,13
22,2,29,SNR07,a,b,0.848539362488737,b,HIT,No,410.591207095038,411.439930915293,411,896,412,897,13.5
22,2,30,catch,catch,None,0,None,None,No,424.593971965841,0,425,910,0,0,14
22,2,31,SNR07,a,b,0.937665534451298,b,HIT,No,438.596885372186,439.534699727276,439,924,440,925,14
22,2,32,catch,catch,None,0,None,None,No,453.599584955773,0,454,939,0,0,15
22,2,33,SNR11,a,b,0,None,None,No,467.102433074902,0,468,953,0,0,13.5
22,3,1,catch,catch,None,0,None,None,No,20.0567984518092,0,21,992,0,0,15
22,3,2,SNR11,a,b,0,None,None,No,34.063091683207,0,35,1006,0,0,14
22,3,3,SNR11,a,b,1.04709061352332,b,HIT,No,48.0664290288056,49.1144889721626,49,1020,50,1021,14
22,3,4,SNR11,a,b,1.41595739282275,b,HIT,No,63.0713766023165,64.487549243381,64,1035,65,1036,15
22,3,5,SNR07,a,b,0.973863161418194,b,HIT,No,76.0782973322332,77.0523386792824,77,1048,78,1049,13
22,3,6,SNR07,a,b,1.05679446044996,b,HIT,No,89.5824272475195,90.6393981830197,90,1061,91,1062,13.5
22,3,6,SNR07,a,b,12.1234906251539,b,FA,No,0,101.708306415424,0,0,102,1073,13.5
22,3,7,SNR09,a,b,0.876222282156959,b,HIT,No,102.585290476791,103.461693510451,103,1074,104,1075,13
22,3,8,SNR07,a,b,1.32187366895232,b,HIT,No,117.088095831369,118.410220670788,118,1089,119,1090,14.5
22,3,9,SNR09,a,b,0,None,None,No,130.090955354378,0,131,1102,0,0,13
22,3,10,SNR07,a,b,0.783729684701029,b,HIT,No,144.093753866628,144.877697659183,145,1116,145,1116,14
22,3,11,SNR07,a,b,0.842803210647617,b,HIT,No,157.596466564678,158.439464496584,158,1129,159,1130,13.5
22,3,12,SNR09,a,b,0.843661352648269,b,HIT,No,172.599218035921,173.443079811768,173,1144,174,1145,15
22,3,13,SNR07,a,b,0,None,None,No,187.602113766251,0,188,1159,0,0,15
22,3,14,SNR09,a,b,0.913216185072088,b,HIT,No,201.605092459811,202.518542994625,202,1173,203,1174,14
22,3,15,SNR11,a,b,10.2729447499096,b,FA,No,215.107854194547,225.381058382736,216,1187,226,1197,13.5
22,3,16,catch,catch,None,0,None,None,No,229.11169644695,0,230,1201,0,0,14
22,3,17,SNR09,a,b,0,None,None,No,242.613970095604,0,243,1214,0,0,13.5
22,3,18,SNR11,a,b,1.01033590699808,b,HIT,No,257.116790275227,258.127359106483,258,1229,259,1230,14.5
22,3,19,SNR07,a,b,0.844362121099039,b,HIT,No,270.11959420432,270.964127953819,271,1242,271,1242,13
22,3,20,SNR09,a,b,8.73123961890451,b,FA,No,284.622352232794,293.353767471458,285,1256,294,1265,14.5
22,3,21,SNR11,a,b,0,None,None,No,298.125169846544,0,299,1270,0,0,13.5
22,3,22,catch,catch,None,0,None,None,No,311.127765084625,0,312,1283,0,0,13
22,3,23,SNR09,a,b,0.994211675406405,b,HIT,No,325.630586689733,326.624985958972,326,1297,327,1298,14.5
22,3,24,SNR09,a,b,0,None,None,No,339.133319914767,0,340,1311,0,0,13.5
22,3,25,SNR11,a,b,0,None,None,No,352.136072526399,0,353,1324,0,0,13
22,3,26,SNR11,a,b,0,None,None,No,365.138863341029,0,366,1337,0,0,13
22,3,27,SNR11,a,b,0,None,None,No,379.64158544728,0,380,1351,0,0,14.5
22,3,28,SNR07,a,b,0.825998737591362,b,HIT,No,394.144406482194,394.970572001535,395,1366,395,1366,14.5
22,3,29,SNR09,a,b,0,None,None,No,408.147192735272,0,409,1380,0,0,14
22,3,30,SNR07,a,b,0,None,None,No,422.149897165508,0,423,1394,0,0,14
22,3,31,SNR09,a,b,1.03778761299145,b,HIT,No,437.152679142132,438.190678012007,438,1409,439,1410,15
22,3,32,SNR07,a,b,0.983587250233541,b,HIT,No,452.155533533395,453.1393428742,453,1424,454,1425,15
22,3,33,SNR11,a,b,0,None,None,No,467.158219717423,0,468,1439,0,0,15
22,4,1,SNR11,a,b,0.853847298620167,b,HIT,No,18.5080856362995,19.3621513192294,19,1467,20,1468,13.5
22,4,2,SNR09,a,b,0.848628597852439,b,HIT,No,33.5108755956389,34.3597379730401,34,1482,35,1483,15
22,4,3,SNR09,a,b,1.24328012092701,b,HIT,No,47.0152261760109,48.2584638174832,48,1496,49,1497,13.5
22,4,4,SNR11,a,b,1.17622844025027,b,HIT,No,61.5178733017484,62.6942502775419,62,1510,63,1511,14.5
22,4,4,SNR11,a,b,12.6668781136159,b,FA,No,0,74.1869272757441,0,0,75,1523,14.5
22,4,5,SNR11,a,b,0,None,None,No,74.5205024663742,0,75,1523,0,0,13
22,4,6,SNR09,a,b,0.939958854800352,b,HIT,No,88.5234694709569,89.4636421485139,89,1537,90,1538,14
22,4,7,SNR07,a,b,0.949735116368174,b,HIT,No,101.5264116721,102.476345786181,102,1550,103,1551,13
22,4,8,SNR07,a,b,0.854665812135863,b,HIT,No,115.529204197312,116.384116048168,116,1564,117,1565,14
22,4,8,SNR07,a,b,10.1514255705788,b,FA,No,0,125.683139191773,0,0,126,1574,14
22,4,9,SNR09,a,b,0.944716838797831,b,HIT,No,129.031993586458,129.976886900306,130,1578,130,1578,13.5
22,4,10,SNR11,a,b,0,None,None,No,144.034822889185,0,145,1593,0,0,15
22,4,11,SNR07,a,b,0.838317494293733,b,HIT,No,158.537584338823,159.376144450672,159,1607,160,1608,14.5
22,4,12,SNR07,a,b,0,None,None,No,172.040289909447,0,173,1621,0,0,13.5
22,4,13,SNR07,a,b,1.01550186482018,b,HIT,No,185.043045657146,186.058778165446,186,1634,187,1635,13
22,4,14,SNR11,a,b,0.934378936120993,b,HIT,No,200.045797698583,200.980365654021,201,1649,201,1649,15
22,4,15,catch,catch,None,0,None,None,No,214.048332781195,0,215,1663,0,0,14
22,4,16,SNR11,a,b,0,None,None,No,227.05129009248,0,228,1676,0,0,13
22,4,17,SNR09,a,b,0,None,None,No,240.054192380041,0,241,1689,0,0,13
22,4,18,SNR07,a,b,0.886711286248101,b,HIT,No,254.057277699883,254.944386696461,255,1703,255,1703,14
