subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
23,1,1,catch,catch,None,0,None,None,No,19.0714881164848,0,20,20,0,0,14
23,1,2,SNR11,a,b,0,None,None,No,32.079035554182,0,33,33,0,0,13
23,1,3,SNR07,a,b,0.93681112845843,b,HIT,No,46.0828413467186,47.0207307212902,47,47,48,48,14
23,1,4,SNR07,a,b,0.849391654797728,b,HIT,No,59.5882305815915,60.4377473950463,60,60,61,61,13.5
23,1,5,SNR09,a,b,0.894845344952046,b,HIT,No,73.5956463033435,74.4906666993581,74,74,75,75,14
23,1,6,SNR09,a,b,0.982574721714627,b,HIT,No,86.6000827358599,87.5828282321439,87,87,88,88,13
23,1,7,SNR11,a,b,1.09285346914658,b,HIT,No,101.603007286001,102.696776779676,102,102,103,103,15
23,1,8,catch,catch,None,0,None,None,No,116.607021771334,0,117,117,0,0,15
23,1,9,SNR07,a,b,0.844151241835789,b,HIT,No,131.109350178529,131.953837552615,132,132,132,132,14.5
23,1,10,SNR11,a,b,0,None,None,No,145.612266175687,0,146,146,0,0,14.5
23,1,11,SNR09,a,b,1.03709257863375,b,HIT,No,160.115171339067,161.152434977369,161,161,162,162,14.5
23,1,12,SNR09,a,b,1.04917879954883,b,HIT,No,173.618059681578,174.667408115299,174,174,175,175,13.5
23,1,13,SNR07,a,b,0.796028450644371,b,HIT,No,188.120935194615,188.917120164856,189,189,189,189,14.5
23,1,14,SNR07,a,b,1.52905248908974,b,HIT,No,202.123765661938,203.652941884188,203,203,204,204,14
23,1,15,SNR11,a,b,0,None,None,No,217.126758065749,0,218,218,0,0,15
23,1,16,SNR11,a,b,1.37566214346953,b,HIT,No,230.129606209238,231.505471913713,231,231,232,232,13
23,1,17,SNR11,a,b,0,None,None,No,244.132589489866,0,245,245,0,0,14
23,1,18,catch,catch,None,0,None,None,No,257.135313615095,0,258,258,0,0,13
23,1,19,SNR11,a,b,0,None,None,No,271.638160333087,0,272,272,0,0,14.5
23,1,20,SNR11,a,b,0,None,None,No,285.641088874621,0,286,286,0,0,14
23,1,21,SNR09,a,b,0,None,None,No,300.64414400031,0,301,301,0,0,15
23,1,22,SNR09,a,b,1.11427669699697,b,HIT,No,314.647003547778,315.761490648168,315,315,316,316,14
23,1,23,SNR07,a,b,1.00528545867382,b,HIT,No,327.649828598212,328.655332728162,328,328,329,329,13
23,1,24,SNR11,a,b,0,None,None,No,341.152821287121,0,342,342,0,0,13.5
23,1,25,SNR07,a,b,1.00813103626933,b,HIT,No,354.155764368727,355.164033108029,355,355,356,356,13
23,1,26,SNR07,a,b,0,None,None,No,367.658579440681,0,368,368,0,0,13.5
23,1,27,SNR09,a,b,0,None,None,No,382.161466642794,0,383,383,0,0,14.5
23,1,28,SNR11,a,b,0,None,None,No,395.664384350549,0,396,396,0,0,13.5
23,1,29,SNR09,a,b,1.05781360654328,b,HIT,No,409.167307190094,410.225451511996,410,410,411,411,13.5
23,1,30,SNR07,a,b,1.2129148339518,b,HIT,No,424.170199238899,425.383267456354,425,425,426,426,15
23,1,31,SNR09,a,b,0,None,None,No,439.173069620145,0,440,440,0,0,15
23,1,32,SNR07,a,b,0.995734056952642,b,HIT,No,454.176006144463,455.171901852804,455,455,456,456,15
23,1,33,SNR09,a,b,0,None,None,No,467.17887139392,0,468,468,0,0,13
23,2,1,SNR07,a,b,0.936456464743969,b,HIT,No,19.50871406464,20.4452691737932,20,505,21,506,14.5
23,2,2,SNR07,a,b,0.831430104448373,b,HIT,No,32.5113945696538,33.3429598112414,33,518,34,519,13
23,2,3,SNR07,a,b,0.889206362962796,b,HIT,No,45.5142897545522,46.4036648963892,46,531,47,532,13
23,2,4,SNR11,a,b,0.967120621015056,b,HIT,No,58.5172111685998,59.4845322145271,59,544,60,545,13
