subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
24,1,1,catch,catch,None,10.6824252587548,b,FA,No,19.067338680248,29.7506602865575,20,20,30,30,14
24,1,2,SNR11,a,b,0,None,None,No,32.0742628510695,0,33,33,0,0,13
24,1,3,SNR07,a,b,1.11823149258998,b,HIT,No,46.0779217965268,47.1965983268179,47,47,48,48,14
24,1,4,SNR07,a,b,0.926269141467856,b,HIT,No,59.581590720408,60.5083128823162,60,60,61,61,13.5
24,1,5,SNR09,a,b,1.2434125297068,b,HIT,No,73.5892458820471,74.8333010222468,74,74,75,75,14
24,1,6,SNR09,a,b,0,None,None,No,86.5963405413666,0,87,87,0,0,13
24,1,7,SNR11,a,b,0,None,None,No,101.599405057863,0,102,102,0,0,15
24,1,8,catch,catch,None,0,None,None,No,116.603469697523,0,117,117,0,0,15
24,1,9,SNR07,a,b,1.18867944969224,b,HIT,No,131.105958886613,132.295454001177,132,132,133,133,14.5
24,1,10,SNR11,a,b,0,None,None,No,145.608931316513,0,146,146,0,0,14.5
24,1,11,SNR09,a,b,1.17718801175124,b,HIT,No,160.111903746413,161.289321547009,161,161,162,162,14.5
24,1,12,SNR09,a,b,1.23877199244635,b,HIT,No,173.614909532759,174.853964627343,174,174,175,175,13.5
24,1,13,SNR07,a,b,1.14164372579489,b,HIT,No,188.118002844136,189.259829602733,189,189,190,190,14.5
24,1,14,SNR07,a,b,1.09962372789323,b,HIT,No,202.120783688299,203.220583606647,203,203,204,204,14
24,1,15,SNR11,a,b,0,None,None,No,217.123740152721,0,218,218,0,0,15
24,1,16,SNR11,a,b,0,None,None,No,230.126616219557,0,231,231,0,0,13
24,1,17,SNR11,a,b,0,None,None,No,244.129761988934,0,245,245,0,0,14
24,1,18,catch,catch,None,0,None,None,No,257.132954514353,0,258,258,0,0,13
24,1,19,SNR11,a,b,0,None,None,No,271.635916680731,0,272,272,0,0,14.5
24,1,20,SNR11,a,b,0,None,None,No,285.639006570935,0,286,286,0,0,14
24,1,21,SNR09,a,b,1.0843507524296,b,HIT,No,300.642214776734,301.726767948619,301,301,302,302,15
24,1,22,SNR09,a,b,0,None,None,No,314.645220277982,0,315,315,0,0,14
24,1,23,SNR07,a,b,0.900816178047535,b,HIT,No,327.648165053393,328.549199331275,328,328,329,329,13
24,1,24,SNR11,a,b,0,None,None,No,341.151004627708,0,342,342,0,0,13.5
24,1,25,SNR07,a,b,1.09854947929671,b,HIT,No,354.154019537184,355.252760032022,355,355,356,356,13
24,1,26,SNR07,a,b,0.802190862728821,b,HIT,No,367.657060960757,368.459558873841,368,368,369,369,13.5
24,1,27,SNR09,a,b,1.22671634591279,b,HIT,No,382.16034072611,383.387248372662,383,383,384,384,14.5
24,1,28,SNR11,a,b,0,None,None,No,395.663368464988,0,396,396,0,0,13.5
24,1,29,SNR09,a,b,1.19445980804812,b,HIT,No,409.166293568649,410.360892504436,410,410,411,411,13.5
24,1,30,SNR07,a,b,1.12811954037716,b,HIT,No,424.169312754592,425.297577409761,425,425,426,426,15
24,1,31,SNR09,a,b,1.46705209991524,b,HIT,No,439.172279482536,440.639494658407,440,440,441,441,15
24,1,32,SNR07,a,b,1.21956409683298,b,HIT,No,454.175133026644,455.394984502082,455,455,456,456,15
24,1,33,SNR09,a,b,0,None,None,No,467.177904462579,0,468,468,0,0,13
24,2,1,SNR07,a,b,0.989120952181111,b,HIT,No,19.508932399885,20.4980869936092,20,506,21,507,14.5
24,2,2,SNR07,a,b,0.891874369934158,b,HIT,No,32.5116756111357,33.4037315883826,33,519,34,520,13
24,2,3,SNR07,a,b,0.88761215748309,b,HIT,No,45.5146677127856,46.4024871363862,46,532,47,533,13
24,2,4,SNR11,a,b,1.45230113856633,b,HIT,No,58.51772339125,59.9703005045091,59,545,60,546,13
24,2,5,SNR11,a,b,0,None,None,No,71.5206242615966,0,72,558,0,0,13
24,2,6,SNR09,a,b,1.24618196995834,b,HIT,No,84.5235667562254,85.7699212103657,85,571,86,572,13
24,2,7,SNR11,a,b,0,None,None,No,99.0266529401568,0,100,586,0,0,14.5
24,2,8,SNR11,a,b,0,None,None,No,114.029847461261,0,115,601,0,0,15
24,2,9,SNR09,a,b,0.957159490564663,b,HIT,No,128.532753178271,129.490093135757,129,615,130,616,14.5
24,2,10,SNR07,a,b,0.962972635170445,b,HIT,No,142.53575183717,143.498839366764,143,629,144,630,14
24,2,11,SNR11,a,b,0,None,None,No,156.538723126679,0,157,643,0,0,14
24,2,12,SNR07,a,b,1.02450330257307,b,HIT,No,171.541713517742,172.566396431944,172,658,173,659,15
24,2,13,SNR07,a,b,1.09832111594005,b,HIT,No,186.044685662545,187.143274485341,187,673,188,674,14.5
24,2,14,SNR09,a,b,1.17968062201544,b,HIT,No,199.547871915812,200.727784322357,200,686,201,687,13.5
24,2,15,SNR09,a,b,1.20544576755128,b,HIT,No,213.050854609234,214.256493673109,214,700,215,701,13.5
24,2,16,SNR11,a,b,0,None,None,No,226.553627755756,0,227,713,0,0,13.5
24,2,17,SNR11,a,b,1.26812309839806,b,HIT,No,241.556675166383,242.825096192005,242,728,243,729,15
24,2,18,SNR11,a,b,1.17770460900465,b,HIT,No,255.559838611824,256.737741648915,256,742,257,743,14
24,2,19,SNR09,a,b,1.30657509704724,b,HIT,No,269.562871482463,270.869607944878,270,756,271,757,14
24,2,20,SNR09,a,b,1.06350354433744,b,HIT,No,284.565809130429,285.629603189446,285,771,286,772,15
24,2,21,SNR09,a,b,1.09520870301094,b,HIT,No,299.568652125917,300.664062107991,300,786,301,787,15
24,2,22,SNR07,a,b,0.792782919676029,b,HIT,No,313.07171721261,313.864795208532,314,800,314,800,13.5
24,2,23,catch,catch,None,0,None,None,No,326.074762627553,0,327,813,0,0,13
24,2,24,SNR09,a,b,0,None,None,No,340.077518953303,0,341,827,0,0,14
24,2,25,SNR11,a,b,0,None,None,No,354.580569214909,0,355,841,0,0,14.5
24,2,26,SNR09,a,b,0,None,None,No,369.083484910342,0,370,856,0,0,14.5
24,2,27,SNR07,a,b,1.16456045898485,b,HIT,No,384.086716494163,385.251493057298,385,871,386,872,15
24,2,28,SNR09,a,b,0,None,None,No,397.089660129184,0,398,884,0,0,13
24,2,29,SNR07,a,b,1.03715337806716,b,HIT,No,410.592627997518,411.630009738942,411,897,412,898,13.5
24,2,30,catch,catch,None,0,None,None,No,424.595559088234,0,425,911,0,0,14
24,2,31,SNR07,a,b,1.22582570031409,b,HIT,No,438.598908417456,439.824873245508,439,925,440,926,14
24,2,32,catch,catch,None,0,None,None,No,453.601627395392,0,454,940,0,0,15
24,2,33,SNR11,a,b,0,None,None,No,467.104949925418,0,468,954,0,0,13.5
24,3,1,catch,catch,None,0,None,None,No,20.007072991885,0,21,993,0,0,15
