subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
26,1,1,catch,catch,None,0,None,None,No,19.0763992454072,0,20,20,0,0,14
26,1,2,SNR11,a,b,7.50525817321159,b,FA,No,32.0841005511766,39.5896036220912,33,33,40,40,13
26,1,3,SNR07,a,b,1.08690390288302,b,HIT,No,46.0893748323277,47.1766151488188,47,47,48,48,14
26,1,4,SNR07,a,b,0.943277814633802,b,HIT,No,59.5927696162633,60.5367117052264,60,60,61,61,13.5
26,1,5,SNR09,a,b,1.06238562293674,b,HIT,No,73.6002679334825,74.6628782122867,74,74,75,75,14
26,1,6,SNR09,a,b,1.13132190306351,b,HIT,No,86.6044465896356,87.73599286347,87,87,88,88,13
26,1,7,SNR11,a,b,1.46440587218513,b,HIT,No,101.6074905626,103.072119380075,102,102,104,104,15
26,1,8,catch,catch,None,0,None,None,No,116.61124585078,0,117,117,0,0,15
26,1,9,SNR07,a,b,0.911510106520836,b,HIT,No,131.113598037625,132.025304575482,132,132,133,133,14.5
26,1,10,SNR11,a,b,0,None,None,No,145.616553488196,0,146,146,0,0,14.5
26,1,11,SNR09,a,b,1.08198884304238,b,HIT,No,160.11946417865,161.201697349203,161,161,162,162,14.5
26,1,12,SNR09,a,b,1.17394493707525,b,HIT,No,173.622215785382,174.796467486052,174,174,175,175,13.5
26,1,13,SNR07,a,b,1.18309282136124,b,HIT,No,188.124956558455,189.30825436404,189,189,190,190,14.5
26,1,14,SNR07,a,b,1.2528940835964,b,HIT,No,202.127725698607,203.380802243822,203,203,204,204,14
26,1,15,SNR11,a,b,1.35481172669461,b,HIT,No,217.13047944356,218.485475912643,218,218,219,219,15
26,1,16,SNR11,a,b,1.07757384207434,b,HIT,No,230.133281369785,231.211081293208,231,231,232,232,13
26,1,17,SNR11,a,b,1.08645630172578,b,HIT,No,244.136041957049,245.222711225694,245,245,246,246,14
26,1,18,catch,catch,None,0,None,None,No,257.138823641438,0,258,258,0,0,13
26,1,19,SNR11,a,b,0,None,None,No,271.641538185653,0,272,272,0,0,14.5
26,1,20,SNR11,a,b,0,None,None,No,285.644265416653,0,286,286,0,0,14
26,1,21,SNR09,a,b,2.0833994994282,b,HIT,No,300.647022297665,302.730601692845,301,301,303,303,15
