subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
27,1,1,catch,catch,None,0,None,None,No,19.0824714375561,0,20,20,0,0,14
27,1,2,SNR11,a,b,0,None,None,No,32.090169912116,0,33,33,0,0,13
27,1,3,SNR07,a,b,1.17274911634195,b,HIT,No,46.0942547820747,47.2682175563879,47,47,48,48,14
27,1,4,SNR07,a,b,1.03611323825135,b,HIT,No,59.5998609296785,60.636085925958,60,60,61,61,13.5
27,1,5,SNR09,a,b,1.35602629506866,b,HIT,No,73.6073635425926,74.9637744335265,74,74,75,75,14
27,1,6,SNR09,a,b,1.13660508761313,b,HIT,No,86.6143444279785,87.7509609194721,87,87,88,88,13
27,1,7,SNR11,a,b,0,None,None,No,101.617538369781,0,102,102,0,0,15
27,1,8,catch,catch,None,0,None,None,No,116.621675412493,0,117,117,0,0,15
27,1,9,SNR07,a,b,0.974004284438706,b,HIT,No,131.124075074025,132.099115971192,132,132,133,133,14.5
27,1,10,SNR11,a,b,1.15389736165525,b,HIT,No,145.627080566704,146.781205435774,146,146,147,147,14.5
27,1,11,SNR09,a,b,0,None,None,No,160.129945221461,0,161,161,0,0,14.5
27,1,12,SNR09,a,b,1.02543664032419,b,HIT,No,173.632833824365,174.658462334979,174,174,175,175,13.5
27,1,13,SNR07,a,b,0.981328141526319,b,HIT,No,188.135691066599,189.117182283616,189,189,190,190,14.5
27,1,14,SNR07,a,b,0.943179880818207,b,HIT,No,202.138523505393,203.081924336394,203,203,204,204,14
27,1,15,SNR11,a,b,0,None,None,No,217.14137190962,0,218,218,0,0,15
27,1,16,SNR11,a,b,0,None,None,No,230.144279328927,0,231,231,0,0,13
27,1,17,SNR11,a,b,0,None,None,No,244.147052467543,0,245,245,0,0,14
27,1,18,catch,catch,None,0,None,None,No,257.149670228289,0,258,258,0,0,13
27,1,19,SNR11,a,b,0,None,None,No,271.652536023433,0,272,272,0,0,14.5
27,1,20,SNR11,a,b,1.22932832854895,b,HIT,No,285.655767883138,286.885247883297,286,286,287,287,14
27,1,21,SNR09,a,b,0,None,None,No,300.658509375985,0,301,301,0,0,15
27,1,22,SNR09,a,b,0.919827014538896,b,HIT,No,314.661559628895,315.581593338765,315,315,316,316,14
27,1,23,SNR07,a,b,0.918303171019943,b,HIT,No,327.664760127929,328.583288525587,328,328,329,329,13
27,1,24,SNR11,a,b,0,None,None,No,341.167920428284,0,342,342,0,0,13.5
27,1,25,SNR07,a,b,1.07565619353227,b,HIT,No,354.170854646711,355.246768853038,355,355,356,356,13
27,1,26,SNR07,a,b,1.08174016372504,b,HIT,No,367.673651163281,368.755580631421,368,368,369,369,13.5
27,1,27,SNR09,a,b,1.34724017541521,b,HIT,No,382.17672536434,383.524169669213,383,383,384,384,14.5
27,1,28,SNR11,a,b,0,None,None,No,395.679749958518,0,396,396,0,0,13.5
27,1,29,SNR09,a,b,1.19053745918245,b,HIT,No,409.182850388502,410.373655268678,409,409,411,411,13.5
27,1,30,SNR07,a,b,1.00525348260271,b,HIT,No,424.1858826803,425.191335730809,425,425,426,426,15
27,1,31,SNR09,a,b,0,None,None,No,439.188917537971,0,440,440,0,0,15
27,1,32,SNR07,a,b,0.971718376611534,b,HIT,No,454.191919609486,455.163832992452,455,455,456,456,15
27,1,33,SNR09,a,b,0,None,None,No,467.194911417508,0,468,468,0,0,13
27,2,1,SNR07,a,b,1.11090957920169,b,HIT,No,19.5088764954051,20.6199015388966,20,507,21,508,14.5
27,2,2,SNR07,a,b,1.07968803544827,b,HIT,No,32.5116120012157,33.5914933324362,33,520,34,521,13
27,2,3,SNR07,a,b,0.844613861758262,b,HIT,No,45.5145561980375,46.3593117530102,46,533,47,534,13
