subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
28,1,1,catch,catch,None,0,None,None,No,19.0763430749914,0,20,20,0,0,14
28,1,2,SNR11,a,b,0,None,None,No,32.0836461824614,0,33,33,0,0,13
28,1,3,SNR07,a,b,1.17283555349786,b,HIT,No,46.0873048636825,47.2612933593496,47,47,48,48,14
28,1,4,SNR07,a,b,1.06391102844646,b,HIT,No,59.5925398597539,60.6571183060075,60,60,61,61,13.5
28,1,5,SNR09,a,b,0,None,None,No,73.5997155277704,0,74,74,0,0,14
28,1,6,SNR09,a,b,1.14324023505833,b,HIT,No,86.6039546714685,87.746859629576,87,87,88,88,13
28,1,7,SNR11,a,b,0,None,None,No,101.606986133903,0,102,102,0,0,15
28,1,8,catch,catch,None,0,None,None,No,116.610689575738,0,117,117,0,0,15
28,1,9,SNR07,a,b,1.05608048699287,b,HIT,No,131.113019978629,132.169381288581,132,132,133,133,14.5
28,1,10,SNR11,a,b,0,None,None,No,145.615770047908,0,146,146,0,0,14.5
28,1,11,SNR09,a,b,0,None,None,No,160.118522968182,0,161,161,0,0,14.5
28,1,12,SNR09,a,b,1.16132067187573,b,HIT,No,173.621245667914,174.783681363733,174,174,175,175,13.5
28,1,13,SNR07,a,b,1.08327327238294,b,HIT,No,188.124077560735,189.207620252096,189,189,190,190,14.5
28,1,14,SNR07,a,b,0.965302256736322,b,HIT,No,202.126873816125,203.092332307355,203,203,204,204,14
28,1,15,SNR11,a,b,0,None,None,No,217.129681760592,0,218,218,0,0,15
28,1,16,SNR11,a,b,0,None,None,No,230.132402749727,0,231,231,0,0,13
28,1,17,SNR11,a,b,0,None,None,No,244.135086105735,0,245,245,0,0,14
28,1,18,catch,catch,None,0,None,None,No,257.137665115346,0,258,258,0,0,13
28,1,19,SNR11,a,b,1.44983447125924,b,HIT,No,271.640414899525,273.090434400328,272,272,274,274,14.5
28,1,20,SNR11,a,b,0,None,None,No,285.64316211781,0,286,286,0,0,14
28,1,21,SNR09,a,b,1.1470699759484,b,HIT,No,300.645947539421,301.793155218403,301,301,302,302,15
28,1,22,SNR09,a,b,1.09404404444285,b,HIT,No,314.648737237523,315.742953196934,315,315,316,316,14
28,1,23,SNR07,a,b,1.06607122696732,b,HIT,No,327.651515816747,328.717780626238,328,328,329,329,13
28,1,24,SNR11,a,b,0,None,None,No,341.154273583711,0,342,342,0,0,13.5
28,1,25,SNR07,a,b,1.1090496837096,b,HIT,No,354.157145390455,355.266420872929,355,355,356,356,13
28,1,26,SNR07,a,b,1.10410007218525,b,HIT,No,367.659934518359,368.764250125729,368,368,369,369,13.5
28,1,27,SNR09,a,b,0,None,None,No,382.162794636025,0,383,383,0,0,14.5
28,1,28,SNR11,a,b,0,None,None,No,395.66566074078,0,396,396,0,0,13.5
28,1,29,SNR09,a,b,1.31719252309631,b,HIT,No,409.168330412014,410.486163553571,410,410,411,411,13.5
28,1,30,SNR07,a,b,1.20819957417552,b,HIT,No,424.171200508161,425.379593379763,425,425,426,426,15
28,1,31,SNR09,a,b,1.16932626438938,b,HIT,No,439.17401814601,440.343498364099,440,440,441,441,15
28,1,32,SNR07,a,b,1.04421749894755,b,HIT,No,454.176843766643,455.221249146127,455,455,456,456,15
28,1,33,SNR09,a,b,1.3053523430026,b,HIT,No,467.179609516392,468.485121800186,468,468,469,469,13
28,2,1,SNR07,a,b,1.08388481070142,b,HIT,No,19.5084095784291,20.5931445556839,20,506,21,507,14.5
28,2,2,SNR07,a,b,1.23306252686962,b,HIT,No,32.5109224449673,33.7442170427889,33,519,34,520,13
28,2,3,SNR07,a,b,0.944906527296553,b,HIT,No,45.5137685927605,46.459160644416,46,532,47,533,13
28,2,4,SNR11,a,b,0,None,None,No,58.5165411848961,0,59,545,0,0,13
28,2,5,SNR11,a,b,0,None,None,No,71.5193246108107,0,72,558,0,0,13
28,2,6,SNR09,a,b,1.11814064982173,b,HIT,No,84.5221411082614,85.640419176017,85,571,86,572,13
28,2,7,SNR11,a,b,0,None,None,No,99.0249288106677,0,100,586,0,0,14.5
28,2,8,SNR11,a,b,0,None,None,No,114.02774958461,0,115,601,0,0,15
28,2,9,SNR09,a,b,1.11815262399614,b,HIT,No,128.530492241304,129.648836167032,129,615,130,616,14.5
28,2,10,SNR07,a,b,1.27023008665856,b,HIT,No,142.533263693041,143.803707034088,143,629,144,630,14
28,2,11,SNR11,a,b,0,None,None,No,156.536014902718,0,157,643,0,0,14
28,2,12,SNR07,a,b,1.11432573410275,b,HIT,No,171.538813153804,172.653366682366,172,658,173,659,15
28,2,13,SNR07,a,b,1.06125675257863,b,HIT,No,186.041644761526,187.103149550626,187,673,188,674,14.5
28,2,14,SNR09,a,b,1.14003828315253,b,HIT,No,199.54471756338,200.684974517811,200,686,201,687,13.5
28,2,15,SNR09,a,b,1.53668830761671,b,HIT,No,213.047954297418,214.584857855117,214,700,215,701,13.5
28,2,16,SNR11,a,b,0,None,None,No,226.550792462427,0,227,713,0,0,13.5
28,2,17,SNR11,a,b,13.3735678029188,b,FA,No,241.553599836695,254.927548817579,242,728,255,741,15
28,2,18,SNR11,a,b,0,None,None,No,255.556351046372,0,256,742,0,0,14
28,2,19,SNR09,a,b,1.18482968728858,b,HIT,No,269.559147016662,270.744173137474,270,756,271,757,14
28,2,20,SNR09,a,b,1.16744033153736,b,HIT,No,284.561927306483,285.729559509948,285,771,286,772,15
28,2,21,SNR09,a,b,1.14092209144292,b,HIT,No,299.564722421475,300.705818993781,300,786,301,787,15
28,2,22,SNR07,a,b,1.11597645990696,b,HIT,No,313.067458235782,314.183618869934,314,800,315,801,13.5
28,2,23,catch,catch,None,0,None,None,No,326.070423555144,0,327,813,0,0,13
28,2,24,SNR09,a,b,0,None,None,No,340.073146825076,0,341,827,0,0,14
28,2,25,SNR11,a,b,1.23697009990792,b,HIT,No,354.576093042775,355.81325729541,355,841,356,842,14.5
28,2,26,SNR09,a,b,1.22218398721816,b,HIT,No,369.078841116358,370.301197018544,370,856,371,857,14.5
28,2,27,SNR07,a,b,1.03697369216388,b,HIT,No,384.08159517703,385.118751617939,385,871,386,872,15
28,2,28,SNR09,a,b,1.25609514110693,b,HIT,No,397.084317876762,398.340602038803,398,884,399,885,13
28,2,29,SNR07,a,b,1.13123013569566,b,HIT,No,410.58702204503,411.718447758947,411,897,412,898,13.5
28,2,30,catch,catch,None,0,None,None,No,424.589637832469,0,425,911,0,0,14
28,2,31,SNR07,a,b,0.903502389704954,b,HIT,No,438.592400446124,439.496105826634,439,925,440,926,14
28,2,32,catch,catch,None,0,None,None,No,453.595070687557,0,454,940,0,0,15
28,2,33,SNR11,a,b,1.35581351987275,b,HIT,No,467.097825033328,468.453854088383,468,954,469,955,13.5
28,3,1,catch,catch,None,0,None,None,No,20.0560348710837,0,21,994,0,0,15
