subject,block,trial,SNR,stim,correct_resp,RT,response,status,IsDouble,time_stim,time_resp,volume_stim,volume_stim_global,volume_resp,volume_resp_global,ISI
29,1,1,catch,catch,None,0,None,None,No,19.077002136517,0,20,20,0,0,14
29,1,2,SNR11,a,b,0,None,None,No,32.084616507459,0,33,33,0,0,13
29,1,3,SNR07,a,b,0.875816589104943,b,HIT,No,46.0884080125944,46.9653763936255,47,47,47,47,14
29,1,4,SNR07,a,b,0.897233931784285,b,HIT,No,59.5935887954594,60.491039971171,60,60,61,61,13.5
29,1,5,SNR09,a,b,0.985009029012872,b,HIT,No,73.6009528512267,74.5861605928649,74,74,75,75,14
29,1,6,SNR09,a,b,0.96529827703489,b,HIT,No,86.6054083472983,87.5708597214374,87,87,88,88,13
29,1,7,SNR11,a,b,0,None,None,No,101.608510487864,0,102,102,0,0,15
29,1,8,catch,catch,None,0,None,None,No,116.612396645206,0,117,117,0,0,15
29,1,9,SNR07,a,b,0.880248707224382,b,HIT,No,131.114872712738,131.99608020121,132,132,133,133,14.5
29,1,10,SNR11,a,b,0,None,None,No,145.617674361055,0,146,146,0,0,14.5
29,1,11,SNR09,a,b,0,None,None,No,160.120606013608,0,161,161,0,0,14.5
29,1,12,SNR09,a,b,0.916850316643831,b,HIT,No,173.623596396146,174.540663386531,174,174,175,175,13.5
29,1,13,SNR07,a,b,0.937402104813373,b,HIT,No,188.126619279742,189.064196149024,189,189,190,190,14.5
29,1,14,SNR07,a,b,0.916304355894681,b,HIT,No,202.12947994314,203.045946234125,203,203,204,204,14
29,1,15,SNR11,a,b,0,None,None,No,217.132341176732,0,218,218,0,0,15
29,1,16,SNR11,a,b,0.967732720426284,b,HIT,No,230.135363490135,231.103351942565,231,231,232,232,13
29,1,17,SNR11,a,b,0,None,None,No,244.138245535808,0,245,245,0,0,14
29,1,18,catch,catch,None,0,None,None,No,257.14094283862,0,258,258,0,0,13
29,1,19,SNR11,a,b,1.2374173860153,b,HIT,No,271.64384427089,272.881469492624,272,272,273,273,14.5
29,1,20,SNR11,a,b,0,None,None,No,285.646666446192,0,286,286,0,0,14
29,1,21,SNR09,a,b,0,None,None,No,300.649568163559,0,301,301,0,0,15
29,1,22,SNR09,a,b,0,None,None,No,314.652471591508,0,315,315,0,0,14
29,1,23,SNR07,a,b,1.02834548511601,b,HIT,No,327.655380436301,328.683946301408,328,328,329,329,13
29,1,24,SNR11,a,b,0,None,None,No,341.158210024125,0,342,342,0,0,13.5
